feature,importance,importance_pct
log_per_stock,0.0774,7.7423
net_income_missing,0.0687,6.8703
segment_mobility,0.0617,6.1734
peer_per_missing,0.0607,6.0655
net_income_bn,0.0604,6.0352
price_band_high,0.059,5.8977
segment_materials,0.0569,5.6935
price_band_low,0.0559,5.5915
band_width_pct,0.0546,5.4559
month,0.0515,5.1496
per_stock_value_missing,0.0488,4.8792
segment_software,0.0484,4.8396
price_vs_mid,0.048,4.796
segment_semiconductor,0.0477,4.7668
year,0.0466,4.6637
log_offering,0.0463,4.6322
segment_robotics,0.0429,4.2893
peer_per,0.0398,3.981
segment_manufacturing,0.0248,2.4773
segment_platform,0.0,0.0
segment_deeptech,0.0,0.0
segment_fintech,0.0,0.0
segment_consumer,0.0,0.0
segment_ai,0.0,0.0
is_konex,0.0,0.0
segment_unknown,0.0,0.0
dart_revenue_bn,0.0,0.0
dart_equity_bn,0.0,0.0
dart_assets_bn,0.0,0.0
dart_net_income_bn,0.0,0.0
dart_op_income_bn,0.0,0.0
dart_debt_ratio,0.0,0.0
dart_op_margin,0.0,0.0
offering_amount_missing,0.0,0.0
dart_financial_missing,0.0,0.0
