feature,importance,importance_pct
net_income_missing,0.1014,10.1406
log_per_stock,0.0741,7.4101
price_band_high,0.0617,6.1731
segment_ai,0.061,6.0975
per_stock_value_missing,0.0541,5.4082
net_income_bn,0.0524,5.2397
segment_semiconductor,0.0495,4.9455
log_offering,0.0488,4.8811
peer_per_missing,0.0487,4.8742
segment_software,0.0486,4.8557
price_vs_mid,0.0479,4.7896
peer_per,0.0466,4.6591
price_band_low,0.0465,4.6528
year,0.0446,4.4594
segment_materials,0.0445,4.4465
segment_mobility,0.0427,4.2682
band_width_pct,0.0424,4.2379
month,0.0342,3.4228
segment_robotics,0.0294,2.9417
segment_manufacturing,0.021,2.0963
segment_platform,0.0,0.0
segment_fintech,0.0,0.0
segment_consumer,0.0,0.0
is_konex,0.0,0.0
segment_deeptech,0.0,0.0
segment_unknown,0.0,0.0
dart_revenue_bn,0.0,0.0
dart_equity_bn,0.0,0.0
dart_assets_bn,0.0,0.0
dart_net_income_bn,0.0,0.0
dart_op_income_bn,0.0,0.0
dart_debt_ratio,0.0,0.0
dart_op_margin,0.0,0.0
offering_amount_missing,0.0,0.0
dart_financial_missing,0.0,0.0
