feature,importance,importance_pct
net_income_missing,0.0891,8.9097
log_per_stock,0.084,8.398
per_stock_value,0.0702,7.0184
segment_materials,0.0648,6.4812
segment_semiconductor,0.0629,6.2875
net_income_bn,0.0608,6.0844
segment_mobility,0.0608,6.0788
log_peer_per,0.0578,5.7805
per_stock_value_missing,0.0536,5.3599
segment_software,0.0532,5.3161
segment_manufacturing,0.0452,4.5174
segment_ai,0.0431,4.3128
peer_per_missing,0.0431,4.3068
peer_per,0.0373,3.7328
segment_deeptech,0.0344,3.4416
segment_robotics,0.0326,3.2595
segment_consumer,0.0319,3.1916
dart_net_income_bn,0.0312,3.1196
valuation_model_EV/EBITDA,0.03,2.9988
segment_platform,0.014,1.4044
dart_op_income_bn,0.0,0.0
dart_revenue_bn,0.0,0.0
dart_financial_missing,0.0,0.0
dart_equity_missing,0.0,0.0
dart_assets_missing,0.0,0.0
dart_net_income_missing,0.0,0.0
dart_op_income_missing,0.0,0.0
dart_revenue_missing,0.0,0.0
dart_equity_bn,0.0,0.0
is_loss_company,0.0,0.0
dart_assets_bn,0.0,0.0
dart_op_margin,0.0,0.0
dart_debt_ratio,0.0,0.0
segment_fintech,0.0,0.0
segment_unknown,0.0,0.0
listing_market_UNKNOWN,0.0,0.0
listing_market_코스닥,0.0,0.0
valuation_model_PER,0.0,0.0
