feature,importance,importance_pct
net_income_missing,0.1106,11.0589
log_per_stock,0.0913,9.1341
per_stock_value_missing,0.0677,6.771
per_stock_value,0.0653,6.5308
segment_semiconductor,0.0635,6.3489
net_income_bn,0.0624,6.2357
valuation_model_EV/EBITDA,0.0559,5.5865
segment_mobility,0.0555,5.5524
log_peer_per,0.0536,5.3619
segment_deeptech,0.051,5.0957
peer_per_missing,0.0448,4.4761
peer_per,0.0446,4.4625
segment_materials,0.0428,4.2811
segment_consumer,0.0397,3.9705
segment_robotics,0.0353,3.5327
valuation_model_PER,0.0315,3.1466
segment_ai,0.0261,2.614
segment_software,0.0248,2.4751
segment_platform,0.0223,2.2328
segment_manufacturing,0.0113,1.1326
dart_revenue_bn,0.0,0.0
dart_op_income_bn,0.0,0.0
dart_net_income_bn,0.0,0.0
dart_financial_missing,0.0,0.0
dart_assets_missing,0.0,0.0
dart_equity_missing,0.0,0.0
dart_op_income_missing,0.0,0.0
dart_revenue_missing,0.0,0.0
dart_equity_bn,0.0,0.0
is_loss_company,0.0,0.0
dart_assets_bn,0.0,0.0
dart_op_margin,0.0,0.0
dart_debt_ratio,0.0,0.0
dart_net_income_missing,0.0,0.0
segment_fintech,0.0,0.0
segment_unknown,0.0,0.0
listing_market_코스닥,0.0,0.0
listing_market_UNKNOWN,0.0,0.0
