feature,importance,importance_pct
segment_bio,0.1297,12.9737
log_per_stock,0.0801,8.0142
segment_mobility,0.0761,7.6145
dart_op_margin,0.0654,6.5358
price_band_low,0.0615,6.1473
price_band_high,0.0603,6.0346
net_income_bn,0.0598,5.9775
dart_net_income_bn,0.0558,5.5788
dart_assets_bn,0.0505,5.0476
log_offering,0.0481,4.8057
month,0.046,4.6032
net_income_missing,0.045,4.5013
year,0.0434,4.3371
price_vs_mid,0.0428,4.2797
band_width_pct,0.0403,4.0296
per_stock_value_missing,0.0366,3.6571
segment_platform,0.0334,3.3435
segment_manufacturing,0.016,1.5991
segment_ai,0.0092,0.9197
segment_deeptech,0.0,0.0
segment_consumer,0.0,0.0
segment_semiconductor,0.0,0.0
segment_robotics,0.0,0.0
segment_healthcare,0.0,0.0
segment_materials,0.0,0.0
segment_fintech,0.0,0.0
is_konex,0.0,0.0
dart_revenue_bn,0.0,0.0
segment_software,0.0,0.0
dart_equity_bn,0.0,0.0
dart_op_income_bn,0.0,0.0
segment_unknown,0.0,0.0
dart_debt_ratio,0.0,0.0
peer_per,0.0,0.0
offering_amount_missing,0.0,0.0
peer_per_missing,0.0,0.0
dart_financial_missing,0.0,0.0
