listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2025-05-20,바이오비쥬,39.67,31.42,35.545,39.67,31.42,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-05-09,원일티엔아이,49.54,41.12,45.33,49.54,41.12,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-04-04,한국피아이엠,42.37,30.59,36.48,42.37,30.59,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-04-03,에이유브랜즈,20.19,8.79,14.49,20.19,8.79,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-03-24,더즌,36.51,24.41,30.46,36.51,24.41,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-03-20,한텍,51.5,43.0,47.25,51.5,43.0,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-03-20,티엑스알로보틱스,36.53,25.49,31.01,36.53,25.49,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-03-07,엠디바이스,48.36,40.11,44.235,48.36,40.11,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-03-06,대진첨단소재,41.4,30.11,35.755,41.4,30.11,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-02-25,엘케이켐,39.77,29.73,34.75,39.77,29.73,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-02-24,위너스,26.93,17.19,22.06,26.93,17.19,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-02-20,모티브링크,29.43,16.98,23.205,29.43,16.98,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-02-17,동국생명과학,21.75,11.2,16.475,21.75,11.2,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-02-13,동방메디컬,47.53,38.78,43.155,47.53,38.78,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-02-04,피아이이,39.17,23.97,31.57,39.17,23.97,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-02-03,삼양엔씨켐,26.89,17.75,22.32,26.89,17.75,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-01-24,아스테라시스,24.95,13.7,19.325,24.95,13.7,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2025-01-23,미트박스,41.5,29.18,35.34,41.5,29.18,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2024-12-20,듀켐바이오,39.8,30.99,35.395,39.8,30.99,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2024-12-16,벡트,31.53,23.7,27.615,31.53,23.7,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2024-11-20,위츠,29.42,14.77,22.095,29.42,14.77,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2024-11-19,사이냅소프트,38.26,27.98,33.12,38.26,27.98,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2024-11-18,엠오티,19.84,6.48,13.16,19.84,6.48,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2024-11-13,닷밀,33.08,20.91,26.995,33.08,20.91,한라캐스트_peer_group_extraction.pdf,18,pypdf_text
2024-11-01,탑런토탈솔루션,46.73,37.85,42.29,46.73,37.85,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-11-01,에이럭스,26.24,13.41,19.825,26.24,13.41,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-10-31,성우,25.89,14.03,19.96,25.89,14.03,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-10-25,에이치엔에스하이텍,31.78,19.37,25.575,31.78,19.37,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-10-22,한켐,30.08,18.89,24.485,30.08,18.89,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-10-18,와이제이링크,32.47,23.05,27.76,32.47,23.05,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-10-18,인스피언,33.1,16.37,24.735,33.1,16.37,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-09-30,제닉스,36.95,23.44,30.195,36.95,23.44,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-08-30,아이스크림미디어,27.89,9.41,18.65,27.89,9.41,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-08-22,M83,43.84,33.63,38.735,43.84,33.63,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-08-21,티디에스팜,21.75,11.86,16.805,21.75,11.86,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-08-16,유라클,33.78,22.74,28.26,33.78,22.74,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-06-27,하이젠알앤엠,33.83,19.13,26.48,33.83,19.13,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-06-14,그리드위즈,51.65,43.11,47.38,51.65,43.11,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-05-24,노브랜드,32.34,14.45,23.395,32.34,14.45,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-05-07,코칩,28.57,9.08,18.825,28.57,9.08,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-03-13,오상헬스케어,47.91,39.89,43.9,47.91,39.89,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-02-06,스튜디오삼익,29.36,19.62,24.49,29.36,19.62,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-02-01,이닉스,34.71,21.93,28.32,34.71,21.93,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-01-29,포스뱅크,28.26,17.23,22.745,28.26,17.23,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-01-26,현대힘스,39.84,24.2,32.02,39.84,24.2,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-01-25,HB인베스트먼트,37.1,26.62,31.86,37.1,26.62,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2024-01-24,우진엔텍,25.3,14.87,20.085,25.3,14.87,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-12-12,LS머트리얼즈,30.89,13.62,22.255,30.89,13.62,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-12-06,케이엔에스,32.93,22.34,27.635,32.93,22.34,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-28,에이에스텍,34.44,21.96,28.2,34.44,21.96,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-24,한선엔지니어링,32.99,22.68,27.835,32.99,22.68,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-21,에코아이,30.7,15.6,23.15,30.7,15.6,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-20,스톰테크,38.2,26.6,32.4,38.2,26.6,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-15,캡스톤파트너스,24.32,14.87,19.595,24.32,14.87,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-13,에스와이스틸텍,36.0,20.0,28.0,36.0,20.0,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-13,에이직랜드,38.38,30.96,34.67,38.38,30.96,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-09,메가터치,29.85,19.83,24.84,29.85,19.83,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-02,유진테크놀로지,38.69,30.55,34.62,38.69,30.55,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-26,워트,21.81,12.43,17.12,21.81,12.43,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-20,에스엘에스바이오,19.35,7.55,13.45,19.35,7.55,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-19,신성에스티,37.78,29.3,33.54,37.78,29.3,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-18,퓨릿,40.5,28.0,34.25,40.5,28.0,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
