company_name,rcept_no,report_nm,track_type,extraction_status,filled_key_fields,xml_size,price_band_low,price_band_high,final_offering_price,net_income_bn,peer_per,per_stock_value,offering_shares,listing_market
바이오비쥬,20250502000293,[발행조건확정]증권신고서(지분증권),general,ok,5.0,507002.0,8000.0,9100.0,9100.0,81.2,25.51,13342.0,3000000.0,코스닥
원일티엔아이,20250423000260,[발행조건확정]증권신고서(지분증권),general,ok,5.0,549270.0,11500.0,13500.0,13500.0,78.71,24.42,22929.0,1200000.0,코스닥
한국피아이엠,20250324000424,[발행조건확정]증권신고서(지분증권),general,ok,5.0,712141.0,9300.0,11200.0,11200.0,90.6229,11.81,16136.0,65000.0,코스닥
에이유브랜즈,20250321000213,[발행조건확정]증권신고서(지분증권),general,ok,5.0,590422.0,14000.0,16000.0,16000.0,106.5827,23.47,17542.0,60000.0,코스닥
더즌,20250311000714,[발행조건확정]증권신고서(지분증권),general,ok,5.0,450457.0,10500.0,12500.0,9000.0,117.6042,33.7,16537.0,2500000.0,코스닥
한텍,20250305000408,[발행조건확정]증권신고서(지분증권),general,ok,4.0,548002.0,9200.0,10800.0,10800.0,,14.07,19102.0,3309000.0,코스닥
티엑스알로보틱스,20250307001078,[발행조건확정]증권신고서(지분증권),general,partial,3.0,1093809.0,11500.0,13500.0,13500.0,,,18119.0,3075400.0,코스닥
엠디바이스,20250221000431,[발행조건확정]증권신고서(지분증권),general,ok,5.0,855116.0,7200.0,8350.0,8350.0,93.85,15.95,13942.0,1260000.0,코스닥
대진첨단소재,20250219001498,[발행조건확정]증권신고서(지분증권),general,ok,4.0,730567.0,10900.0,13000.0,9000.0,,31.54,19200.0,3000000.0,코스닥
엘케이켐,20250212000695,[발행조건확정]증권신고서(지분증권),general,partial,3.0,393939.0,18000.0,21000.0,21000.0,,,29883.0,,코스닥
위너스,20250212000606,[발행조건확정]증권신고서(지분증권),general,ok,4.0,393840.0,7500.0,8500.0,8500.0,28.82,,,1700000.0,코스닥
모티브링크,20250210000466,[발행조건확정]증권신고서(지분증권),general,ok,4.0,507340.0,5100.0,6000.0,6000.0,32.04,,7227.0,3020590.0,코스닥
동국생명과학,20250131000480,[발행조건확정]증권신고서(지분증권),general,ok,4.0,624274.0,12600.0,14300.0,9000.0,,14.82,16103.0,2000000.0,코스닥
