company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source
바이오비쥬,2025-05-20,1657197,20250502000293,[발행조건확정]증권신고서(지분증권),general,31.42,39.67,35.545,8000.0,9100.0,8550.0,9100.0,0.0643,8120.0,81.2,25.51,PER,13342.0,15524430.0,3000000.0,27300000000.0,31.42,39.67,35.545,코스닥,0.0,0.0,5.0,ok,507002.0,31.7943,0.0,OK,,,,
원일티엔아이,2025-05-09,488244,20250423000260,[발행조건확정]증권신고서(지분증권),general,41.12,49.54,45.33,11500.0,13500.0,12500.0,13500.0,0.08,7871.0,78.71,24.42,PER,22929.0,8381030.0,1200000.0,16200000000.0,41.12,49.84,45.48,코스닥,0.0,0.0,5.0,ok,549270.0,41.1226,0.15,OK,,,,
한국피아이엠,2025-04-04,765897,20250324000424,[발행조건확정]증권신고서(지분증권),general,30.59,42.37,36.48,9300.0,11200.0,10250.0,11200.0,0.0927,9062.292,90.6229,11.81,EV/EBITDA,16136.0,6080457.0,65000.0,14560000000.0,30.59,42.37,36.48,코스닥,0.0,0.0,5.0,ok,712141.0,30.59,0.0,OK,EBITDA,,,
에이유브랜즈,2025-04-03,1803927,20250321000213,[발행조건확정]증권신고서(지분증권),general,8.79,20.19,14.49,14000.0,16000.0,15000.0,16000.0,0.0667,10658.266,106.5827,23.47,PER,17542.0,14260000.0,60000.0,32000000000.0,8.79,20.19,14.49,코스닥,0.0,0.0,5.0,ok,590422.0,8.7903,0.0,OK,,,,
더즌,2025-03-24,1563667,20250311000714,[발행조건확정]증권신고서(지분증권),general,24.41,36.51,30.46,10500.0,12500.0,11500.0,9000.0,-0.2174,11760.417,117.6042,33.7,PER,16537.0,23967758.0,2500000.0,22500000000.0,24.41,36.51,30.46,코스닥,0.0,0.0,5.0,ok,450457.0,45.5766,0.0,OK,,,,
한텍,2025-03-20,404941,20250305000408,[발행조건확정]증권신고서(지분증권),general,43.0,51.5,47.25,9200.0,10800.0,10000.0,10800.0,0.08,,,14.07,PER,19102.0,11127819.0,3309000.0,35737200000.0,43.0,51.5,47.25,코스닥,0.0,0.0,4.0,ok,548002.0,43.4614,0.0,OK,,,,
티엑스알로보틱스,2025-03-20,1458161,20250307001078,[발행조건확정]증권신고서(지분증권),general,25.49,36.53,31.01,11500.0,13500.0,12500.0,13500.0,0.08,,,,PER,18119.0,,3075400.0,41517900000.0,25.49,36.53,31.01,코스닥,0.0,0.0,3.0,partial,1093809.0,25.4926,0.0,OK,,,,
엠디바이스,2025-03-07,1022142,20250221000431,[발행조건확정]증권신고서(지분증권),general,40.11,48.36,44.235,7200.0,8350.0,7775.0,8350.0,0.074,9385.0,93.85,15.95,PER,13942.0,,1260000.0,10521000000.0,40.11,48.36,44.235,코스닥,0.0,0.0,5.0,ok,855116.0,40.109,0.0,OK,,,,
대진첨단소재,2025-03-06,1549472,20250219001498,[발행조건확정]증권신고서(지분증권),general,30.11,41.4,35.754999999999995,10900.0,13000.0,11950.0,9000.0,-0.2469,,,31.54,EV/EBITDA,19200.0,,3000000.0,27000000000.0,32.29,43.23,37.76,코스닥,0.0,0.0,4.0,ok,730567.0,53.125,2.005,MINOR_DIFF,,,,
엘케이켐,2025-02-25,1747977,20250212000695,[발행조건확정]증권신고서(지분증권),general,29.73,39.77,34.75,18000.0,21000.0,19500.0,21000.0,0.0769,,,,PER,29883.0,6424676.0,,21000000000.0,29.73,39.76,34.745,코스닥,0.0,0.0,3.0,partial,393939.0,29.7259,0.005,OK,,,,
