listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type
2025-05-20,바이오비쥬,01657197,489460,바이오비쥬,exact,False,31.42,39.67,35.545,,,general
2025-05-09,원일티엔아이,00488244,136150,원일티엔아이,exact,False,41.12,49.54,45.33,,,general
2025-04-04,한국피아이엠,00765897,448900,한국피아이엠,exact,False,30.59,42.37,36.48,,,general
2025-04-03,에이유브랜즈,01803927,481070,에이유브랜즈,exact,False,8.79,20.19,14.49,,,general
2025-03-24,더즌,01563667,462860,더즌,exact,False,24.41,36.51,30.46,,,general
2025-03-20,한텍,00404941,098070,한텍,exact,False,43.0,51.5,47.25,,,general
2025-03-20,티엑스알로보틱스,01458161,484810,티엑스알로보틱스,exact,False,25.49,36.53,31.01,,,general
2025-03-07,엠디바이스,01022142,226590,엠디바이스,exact,False,40.11,48.36,44.235,,,general
2025-03-06,대진첨단소재,01549472,393970,대진첨단소재,exact,False,30.11,41.4,35.754999999999995,,,general
2025-02-25,엘케이켐,01747977,489500,엘케이켐,exact,False,29.73,39.77,34.75,,,general
2025-02-24,위너스,01137860,479960,위너스일렉,manual,False,17.19,26.93,22.06,동명회사 다수 → 위너스일렉(479960) 선택 (FN가이드 확인),"[{'corp_code': '01137860', 'name': '위너스일렉', 'stock': '479960'}, {'corp_code': '00165200', 'name': '위너스인프라인', 'stock': '005760'}]",general
2025-02-20,모티브링크,00367400,463480,모티브링크,exact,False,16.98,29.43,23.205,,,general
2025-02-17,동국생명과학,01233465,303810,동국생명과학,exact,False,11.2,21.75,16.475,,,general
2025-02-13,동방메디컬,01073261,240550,동방메디컬,exact,False,38.78,47.53,43.155,,,general
2025-02-04,피아이이,01429220,452450,피아이이,exact,False,23.97,39.17,31.57,,,general
2025-02-03,삼양엔씨켐,00863533,482630,삼양엔씨켐,exact,False,17.75,26.89,22.32,,,general
2025-01-24,아스테라시스,01590528,450950,아스테라시스,exact,False,13.7,24.95,19.325,,,general
2025-01-23,미트박스,01374717,475460,미트박스,exact,False,29.18,41.5,35.34,,,general
2024-12-20,듀켐바이오,00867034,176750,듀켐바이오,exact,False,30.99,39.8,35.395,,,general
2024-12-16,벡트,01453944,457600,벡트,exact,False,23.7,31.53,27.615,,,general
2024-11-20,위츠,01445440,459100,위츠,exact,False,14.77,29.42,22.095,,,general
2024-11-19,사이냅소프트,01207901,466410,사이냅소프트,exact,False,27.98,38.26,33.12,,,general
2024-11-18,엠오티,01563922,413390,엠오티,exact,False,6.48,19.84,13.16,,,general
2024-11-13,닷밀,01605282,464580,닷밀,exact,False,20.91,33.08,26.995,,,general
2024-11-01,탑런토탈솔루션,00814582,336680,탑런토탈솔루션,exact,False,37.85,46.73,42.29,,,general
2024-11-01,에이럭스,01641600,475580,에이럭스,exact,False,13.41,26.24,19.825,,,general
2024-10-31,성우,00319272,458650,성우,exact,False,14.03,25.89,19.96,,,general
2024-10-25,에이치엔에스하이텍,00311216,044990,에이치엔에스하이텍,exact,False,19.37,31.78,25.575000000000003,,,general
2024-10-22,한켐,01016309,457370,한켐,exact,False,18.89,30.08,24.485,,,general
2024-10-18,와이제이링크,01023211,209640,와이제이링크,exact,False,23.05,32.47,27.76,,,general
2024-10-18,인스피언,01284876,465480,인스피언,exact,False,16.37,33.1,24.735,,,general
2024-09-30,제닉스,01293485,381620,제닉스로보틱스,partial,False,23.44,36.95,30.195,부분 매칭: 제닉스 → 제닉스로보틱스,,general
2024-08-30,아이스크림미디어,00657224,461300,아이스크림미디어,exact,False,9.41,27.89,18.65,,,general
2024-08-22,M83,01704680,476080,M83,exact,False,33.63,43.84,38.735,,,general
2024-08-21,티디에스팜,01232192,464280,티디에스팜,exact,False,11.86,21.75,16.805,,,general
2024-08-16,유라클,00407294,088340,유라클,exact,False,22.74,33.78,28.26,,,general
2024-06-27,하이젠알앤엠,00650771,160190,하이젠알앤엠,exact,False,19.13,33.83,26.48,,,general
2024-06-14,그리드위즈,01299203,453450,그리드위즈,exact,False,43.11,51.65,47.38,,,general
2024-05-24,노브랜드,00305941,145170,노브랜드,exact,False,14.45,32.34,23.395000000000003,,,general
2024-05-07,코칩,00446901,126730,코칩,exact,False,9.08,28.57,18.825,,,general
2024-03-13,오상헬스케어,00260657,036220,오상헬스케어,exact,False,39.89,47.91,43.9,,,general
2024-02-06,스튜디오삼익,01540815,415380,스튜디오삼익,exact,False,19.62,29.36,24.49,,,general
2024-02-01,이닉스,00338170,452400,이닉스,exact,False,21.93,34.71,28.32,,,general
2024-01-29,포스뱅크,00862312,105760,포스뱅크,exact,False,17.23,28.26,22.745,,,general
2024-01-26,현대힘스,00667373,460930,현대힘스,exact,False,24.2,39.84,32.02,,,general
2024-01-25,HB인베스트먼트,00309460,440290,HB인베스트먼트,exact,False,26.62,37.1,31.86,,,general
2024-01-24,우진엔텍,01030503,457550,우진엔텍,exact,False,14.87,25.3,20.085,,,general
2023-12-12,LS머트리얼즈,01528141,417200,LS머트리얼즈,exact,False,13.62,30.89,22.255,,,general
2023-12-06,케이엔에스,01402995,432470,케이엔에스,exact,False,22.34,32.93,27.635,,,general
2023-11-28,에이에스텍,01538528,453860,에이에스텍,exact,False,21.96,34.44,28.2,,,general
2023-11-24,한선엔지니어링,00958451,452280,한선엔지니어링,exact,False,22.68,32.99,27.835,,,general
2023-11-21,에코아이,01218299,448280,에코아이,exact,False,15.6,30.7,23.15,,,general
2023-11-20,스톰테크,01226270,352090,스톰테크,exact,False,26.6,38.2,32.400000000000006,,,general
2023-11-15,캡스톤파트너스,01497124,452300,캡스톤파트너스,exact,False,14.87,24.32,19.595,,,general
2023-11-13,에스와이스틸텍,01135084,365330,에스와이스틸텍,exact,False,20.0,36.0,28.0,,,general
2023-11-13,에이직랜드,01540453,445090,에이직랜드,exact,False,30.96,38.38,34.67,,,general
2023-11-09,메가터치,00923516,446540,메가터치,exact,False,19.83,29.85,24.84,,,general
2023-11-02,유진테크놀로지,01085026,240600,유진테크놀로지,exact,False,30.55,38.69,34.62,,,general
2023-10-26,워트,00866451,396470,워트,exact,False,12.43,21.81,17.119999999999997,,,general
2023-10-20,에스엘에스바이오,01112700,246250,에스엘에스바이오,exact,False,7.55,19.35,13.45,,,general
2023-10-19,신성에스티,00761183,416180,신성에스티,exact,False,29.3,37.78,33.54,,,general
2023-10-18,퓨릿,01027828,445180,퓨릿,exact,False,28.0,40.5,34.25,,,general
2023-10-06,레뷰코퍼레이션,01468061,443250,레뷰코퍼레이션,exact,False,22.43,32.42,27.425,,,general
2023-10-04,한싹,01602638,430690,한싹,exact,False,20.01,35.28,27.645000000000003,,,general
2023-09-25,인스웨이브시스템즈,01222113,450520,인스웨이브,manual,False,38.96,49.14,44.05,사명 변경: 인스웨이브시스템즈 → 인스웨이브,,general
