listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type,rcept_no,report_nm,rcept_dt,dart_url,filing_search_result
2025-05-20,바이오비쥬,1657197,489460,바이오비쥬,exact,False,31.42,39.67,35.545,,,general,20250502000293,[발행조건확정]증권신고서(지분증권),20250502,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250502000293,ok_pri1
2025-05-09,원일티엔아이,488244,136150,원일티엔아이,exact,False,41.12,49.54,45.33,,,general,20250423000260,[발행조건확정]증권신고서(지분증권),20250423,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250423000260,ok_pri1
2025-04-04,한국피아이엠,765897,448900,한국피아이엠,exact,False,30.59,42.37,36.48,,,general,20250324000424,[발행조건확정]증권신고서(지분증권),20250324,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250324000424,ok_pri1
2025-04-03,에이유브랜즈,1803927,481070,에이유브랜즈,exact,False,8.79,20.19,14.49,,,general,20250321000213,[발행조건확정]증권신고서(지분증권),20250321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000213,ok_pri1
2025-03-24,더즌,1563667,462860,더즌,exact,False,24.41,36.51,30.46,,,general,20250311000714,[발행조건확정]증권신고서(지분증권),20250311,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311000714,ok_pri1
2025-03-20,한텍,404941,98070,한텍,exact,False,43.0,51.5,47.25,,,general,20250305000408,[발행조건확정]증권신고서(지분증권),20250305,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250305000408,ok_pri1
2025-03-20,티엑스알로보틱스,1458161,484810,티엑스알로보틱스,exact,False,25.49,36.53,31.01,,,general,20250307001078,[발행조건확정]증권신고서(지분증권),20250307,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250307001078,ok_pri1
2025-03-07,엠디바이스,1022142,226590,엠디바이스,exact,False,40.11,48.36,44.235,,,general,20250221000431,[발행조건확정]증권신고서(지분증권),20250221,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250221000431,ok_pri1
2025-03-06,대진첨단소재,1549472,393970,대진첨단소재,exact,False,30.11,41.4,35.754999999999995,,,general,20250219001498,[발행조건확정]증권신고서(지분증권),20250219,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250219001498,ok_pri1
2025-02-25,엘케이켐,1747977,489500,엘케이켐,exact,False,29.73,39.77,34.75,,,general,20250212000695,[발행조건확정]증권신고서(지분증권),20250212,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250212000695,ok_pri1
2025-02-24,위너스,1137860,479960,위너스일렉,manual,False,17.19,26.93,22.06,동명회사 다수 → 위너스일렉(479960) 선택 (FN가이드 확인),"[{'corp_code': '01137860', 'name': '위너스일렉', 'stock': '479960'}, {'corp_code': '00165200', 'name': '위너스인프라인', 'stock': '005760'}]",general,20250212000606,[발행조건확정]증권신고서(지분증권),20250212,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250212000606,ok_pri1
2025-02-20,모티브링크,367400,463480,모티브링크,exact,False,16.98,29.43,23.205,,,general,20250210000466,[발행조건확정]증권신고서(지분증권),20250210,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250210000466,ok_pri1
2025-02-17,동국생명과학,1233465,303810,동국생명과학,exact,False,11.2,21.75,16.475,,,general,20250131000480,[발행조건확정]증권신고서(지분증권),20250131,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250131000480,ok_pri1
