listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2022-01-25,애드바이오텍,43.9,35.89,39.895,43.9,35.89,나우로보틱스_Robotics.pdf,21,pdfplumber_table
2022-02-04,이지트로닉스,43.07,34.08,38.575,43.07,34.08,나우로보틱스_Robotics.pdf,21,pdfplumber_table
2022-02-04,스코넥,45.82,27.76,36.79,45.82,27.76,나우로보틱스_Robotics.pdf,21,pdfplumber_table
2022-02-21,바이오에프디엔씨,36.84,20.36,28.6,36.84,20.36,나우로보틱스_Robotics.pdf,21,pdfplumber_table
2022-02-23,퓨런티어,37.0,24.28,30.64,37.0,24.28,나우로보틱스_Robotics.pdf,21,pdfplumber_table
2022-02-28,풍원정밀,32.92,22.76,27.84,32.92,22.76,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-03-03,노을,36.16,16.51,26.335,36.16,16.51,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-03-10,모아데이타,27.9,15.88,21.89,27.9,15.88,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-06-20,비플라이소프트,42.89,34.23,38.56,42.89,34.23,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-06-24,보로노이,44.8,36.52,40.66,44.8,36.52,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-06-24,레이저쎌,27.68,15.62,21.65,27.68,15.62,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-07-01,넥스트칩,42.38,32.48,37.43,42.38,32.48,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-07-07,코난테크놀로지,37.59,25.7,31.645,37.59,25.7,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-07-14,영창케미칼,40.3,25.97,33.135,40.3,25.97,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-07-21,루닛,44.37,38.05,41.21,44.37,38.05,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-07-29,아이씨에이치,30.23,9.7,19.965,30.23,9.7,나우로보틱스_Robotics.pdf,22,pdfplumber_table
2022-07-28,에이프릴바이오,48.07,40.28,44.175,48.07,40.28,나우로보틱스_Robotics.pdf,22,pdfplumber_table
