listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2022-01-24,애드바이오텍,43.9,35.9,39.9,43.9,35.9,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-02-04,이지트로닉스,43.1,34.1,38.6,43.1,34.1,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-02-04,스코넥엔터테인먼트,45.8,27.8,36.8,45.8,27.8,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-02-21,바이오에프디엔씨,36.8,20.4,28.6,36.8,20.4,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-02-23,퓨런티어,37.0,24.3,30.65,37.0,24.3,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-02-28,풍원정밀,32.9,22.8,27.85,32.9,22.8,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-03-03,노을,36.2,16.5,26.35,36.2,16.5,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-03-10,모아데이타,27.9,15.9,21.9,27.9,15.9,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-06-20,비플라이소프트,42.9,34.2,38.55,42.9,34.2,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-06-24,보로노이,44.8,36.5,40.65,44.8,36.5,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-06-24,레이저쎌,27.7,15.6,21.65,27.7,15.6,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-07-01,넥스트칩,42.4,32.5,37.45,42.4,32.5,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-07-07,코난테크놀로지,37.6,25.7,31.65,37.6,25.7,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
2022-07-14,영창케미칼,40.3,26.0,33.15,40.3,26.0,나라스페이스테크놀로지_peer_group_extraction.pdf,26,pypdf_text
