company_name,corp_code,listing_date,status,bsns_year,reprt_code,reprt_name,net_income_bn,revenue_bn
HB인베스트먼트,00309460,2024-01-25,ok,2023.0,11011,사업보고서,88.8095,205.1663
LB인베스트먼트,00231901,2023-03-29,notfound,,,,,
LS머트리얼즈,01528141,2023-12-12,notfound,,,,,
그리드위즈,01299203,2024-06-14,notfound,,,,,
그린리소스,01370863,2023-11-24,notfound,,,,,
금양그린파워,00872656,2023-03-13,ok,2022.0,11011,사업보고서,75.5005,2305.9844
기가비스,00765569,2023-05-24,notfound,,,,,
꿈비,01586455,2023-02-09,ok,2022.0,11011,사업보고서,13.1905,271.8174
나노팀,01524118,2023-03-03,ok,2022.0,11011,사업보고서,41.3973,384.5661
나라셀라,01021639,2023-06-02,notfound,,,,,
나우로보틱스,01594791,2025-05-08,notfound,,,,,
넥스트칩,01515864,2022-07-01,notfound,,,,,
노머스,01703849,2024-11-12,notfound,,,,,
노브랜드,00305941,2024-05-23,notfound,,,,,
노브랜드,00305941,2024-05-24,notfound,,,,,
노을,01494118,2022-03-03,ok,2021.0,11011,사업보고서,-123.1309,14.7531
뉴로핏,01782004,2025-07-25,notfound,,,,,
뉴엔AI,01639508,2025-07-04,notfound,,,,,
뉴엔에이아이,,2025-07-04,no_corp_code,,,,,
닷밀,01605282,2024-11-13,notfound,,,,,
대진첨단소재,01549472,2025-03-06,ok,2024.0,11011,사업보고서,-3.7282,889.9292
데이원컴퍼니,01455492,2025-01-24,ok,2024.0,11011,사업보고서,-16.1117,1276.801
도우인시스,01380578,2025-07-23,notfound,,,,,
동국생명과학,01233465,2025-02-17,ok,2024.0,11011,사업보고서,22.4473,1318.1612
듀켐바이오,00867034,2024-12-20,notfound,,,,,
라메디텍,01504211,2024-06-17,notfound,,,,,
레뷰코퍼레이션,01468061,2023-10-06,notfound,,,,,
레이저쎌,01573381,2022-06-24,notfound,,,,,
마녀공장,01136977,2023-06-08,notfound,,,,,
마이크로투나노,00624378,2023-04-26,notfound,,,,,
모니터랩,01583652,2023-05-19,notfound,,,,,
모아데이타,01423837,2022-03-10,ok,2021.0,11011,사업보고서,10.8341,196.4252
미래반도체,00299844,2023-01-27,ok,2022.0,11011,사업보고서,150.1267,5501.5269
미트박스,01374717,2025-01-23,ok,2024.0,11011,사업보고서,11.2287,
미트박스글로벌,,2025-01-23,no_corp_code,,,,,
민테크,01689035,2024-05-03,notfound,,,,,
밀리의서재,01467451,2023-09-27,notfound,,,,,
뱅크웨어글로벌,01138595,2024-08-12,notfound,,,,,
보로노이,01327746,2022-06-24,notfound,,,,,
뷰티스킨,01147487,2023-07-24,notfound,,,,,
블루엠텍,01559637,2023-12-13,notfound,,,,,
비아이매트릭스,01462739,2023-11-09,notfound,,,,,
비플라이소프트,,2022-06-20,no_corp_code,,,,,
빅텐츠,,2023-08-17,no_corp_code,,,,,
빅토리콘텐츠,,2023-08-17,no_corp_code,,,,,
삼기이브이,,2023-02-03,no_corp_code,,,,,
삼현,00262266,2024-03-21,ok,2023.0,11011,사업보고서,94.498,998.4874
샌즈랩,01242241,2023-02-15,ok,2022.0,11011,사업보고서,21.5504,92.9954
샤페론,01387164,2022-10-19,notfound,,,,,
센서뷰,01593668,2023-07-19,notfound,,,,,
셀비온,01275489,2024-10-16,notfound,,,,,
스마트레이더시스템,01555215,2023-08-22,notfound,,,,,
스코넥,01290248,2022-02-04,ok,2021.0,11011,사업보고서,-38.3683,
스코넥엔터테인먼트,,2022-02-04,no_corp_code,,,,,
스톰테크,01226270,2023-11-20,notfound,,,,,
스튜디오미르,01139965,2023-02-07,ok,2022.0,11011,사업보고서,15.1099,257.8136
스튜디오삼익,01540815,2024-02-06,ok,2023.0,11011,사업보고서,21.7291,953.9901
시지트로닉스,01284751,2023-08-03,notfound,,,,,
시큐레터,01579570,2023-08-24,notfound,,,,,
시큐센,,2023-06-29,no_corp_code,,,,,
신성에스티,00761183,2023-10-19,notfound,,,,,
쏘닉스,00561723,2023-11-07,notfound,,,,,
쓰리에이로직스,00870065,2024-12-24,notfound,,,,,
씨어스테크놀로지,,2024-06-19,no_corp_code,,,,,
씨유박스,,2023-05-19,no_corp_code,,,,,
아스테라시스,01590528,2025-01-24,ok,2024.0,11011,사업보고서,53.5184,288.3318
아이빔테크놀로지,01678312,2024-08-06,notfound,,,,,
아이씨에이치,01302853,2022-07-29,notfound,,,,,
아이씨티케이,01373709,2024-05-17,ok,2023.0,11011,사업보고서,-90.3071,61.8751
아이언디바이스,01706794,2024-09-23,notfound,,,,,
아이에스티이,01208751,2025-02-12,ok,2024.0,11011,사업보고서,5.58,410.8662
아이엠비디엑스,01497373,2024-04-03,notfound,,,,,
아이엠티,01546101,2023-10-10,notfound,,,,,
아이티켐,00914341,2025-08-07,notfound,,,,,
알지노믹스,01596920,2025-12-18,ok,2024.0,11011,사업보고서,-188.5012,0.0
애드바이오텍,01022902,2022-01-24,ok,2021.0,11011,사업보고서,-26.6447,118.4017
애드바이오텍,01022902,2022-01-25,ok,2021.0,11011,사업보고서,-26.6447,118.4017
에스바이오메딕스,01258020,2023-05-04,notfound,,,,,
에스비비테크,00567897,2022-10-17,notfound,,,,,
에스엘에스바이오,01112700,2023-10-20,ok,2022.0,11011,사업보고서,28.2604,107.519
에스오에스랩,01686427,2024-06-25,notfound,,,,,
에스와이스틸텍,01135084,2023-11-13,notfound,,,,,
에스켐,01383779,2024-11-18,notfound,,,,,
에스투더블유,01803635,2025-09-19,notfound,,,,,
에어레인,01663116,2024-11-08,notfound,,,,,
에이에스텍,01538528,2023-11-28,notfound,,,,,
에이엘티,00493325,2023-07-27,ok,2022.0,11011,사업보고서,142.6009,443.1885
에이치브이엠,01011368,2024-06-28,notfound,,,,,
에이치이엠파마,,2024-11-05,no_corp_code,,,,,
에이텀,01444380,2023-12-01,notfound,,,,,
엑셀세라퓨틱스,01492217,2024-07-15,ok,2023.0,11011,사업보고서,-92.805,11.239
엔젤로보틱스,01592049,2024-03-26,ok,2023.0,11011,사업보고서,-92.3895,51.4619
엔젯,01587056,2022-11-18,notfound,,,,,
엘비인베스트먼트,,2023-03-29,no_corp_code,,,,,
엠83,,2024-08-22,no_corp_code,,,,,
엠아이큐브솔루션,01497142,2023-08-04,notfound,,,,,
영창케미칼,,2022-07-14,no_corp_code,,,,,
오브젠,01472930,2023-01-30,ok,2022.0,11011,사업보고서,-19.4675,
온코닉테라퓨틱스,01632912,2024-12-19,notfound,,,,,
와이랩,01406265,2023-07-20,notfound,,,,,
와이바이오로직스,01226234,2023-12-05,notfound,,,,,
우진엔텍,01030503,2024-01-24,ok,2023.0,11011,사업보고서,52.6618,406.8271
워트,00866451,2023-10-26,notfound,,,,,
웨이비스,01270749,2024-10-25,notfound,,,,,
위너스,,2025-02-24,no_corp_code,,,,,
유진테크놀로지,01085026,2023-11-02,notfound,,,,,
유투바이오,,2023-11-02,no_corp_code,,,,,
이노시뮬레이션,00965318,2023-07-06,notfound,,,,,
이닉스,00338170,2024-02-01,ok,2023.0,11011,사업보고서,110.1933,1188.8959
이에이트,,2024-02-23,no_corp_code,,,,,
이지트로닉스,01140837,2022-02-04,ok,2021.0,11011,사업보고서,0.9375,177.4781
인벤티지랩,01516456,2022-11-22,notfound,,,,,
인스웨이브시스템즈,,2023-09-25,no_corp_code,,,,,
인투셀,01374443,2025-05-23,ok,2024.0,11011,사업보고서,-99.1285,29.0503
자람테크놀로지,01365038,2023-03-07,ok,2022.0,11011,사업보고서,6.1735,161.1824
제이오,00411808,2023-02-16,ok,2022.0,11011,사업보고서,-56.8783,676.553
지아이이노베이션,01351080,2023-03-30,ok,2022.0,11011,사업보고서,-798.3306,
지에프씨생명과학,01221752,2025-06-30,ok,2024.0,11011,사업보고서,-59.4702,168.0453
지투지바이오,01577952,2025-08-14,ok,2024.0,11011,사업보고서,-832.5463,7.6893
진영,00816933,2023-06-01,notfound,,,,,
캡스톤파트너스,01497124,2023-11-15,notfound,,,,,
케이쓰리아이,01689266,2024-08-20,notfound,,,,,
케이엔알시스템,00672603,2024-03-07,ok,2023.0,11011,사업보고서,-37.8831,213.9903
케이웨더,00426828,2024-02-22,ok,2023.0,11011,사업보고서,-24.3641,146.8801
코난테크놀로지,00601988,2022-07-07,notfound,,,,,
코셈,01493793,2024-02-23,ok,2023.0,11011,사업보고서,16.8403,137.2928
코츠테크놀로지,00959210,2023-08-10,notfound,,,,,
코칩,00446901,2024-05-07,notfound,,,,,
쿼드메디슨,01671285,2025-12-12,ok,2024.0,11011,사업보고서,-49.6814,
퀄리타스반도체,01584183,2023-10-27,notfound,,,,,
큐라티스,01357765,2023-06-15,ok,2022.0,11011,사업보고서,-363.3047,84.0945
큐로셀,01492651,2023-11-09,notfound,,,,,
큐리오시스,01786958,2025-11-13,notfound,,,,,
큐리옥스바이오시스,01498974,2023-08-10,notfound,,,,,
큐리옥스바이오시스템즈,01498974,2023-08-10,notfound,,,,,
키스트론,00204323,2025-06-02,notfound,,,,,
탑런토탈솔루션,00814582,2024-11-01,notfound,,,,,
템즈,,2023-08-10,no_corp_code,,,,,
토마토시스템,01436479,2023-04-27,notfound,,,,,
토모큐브,01573336,2024-11-07,notfound,,,,,
트루엔,01134216,2023-05-17,notfound,,,,,
티엑스알로보틱스,01458161,2025-03-20,notfound,,,,,
티이엠씨,01301252,2023-01-19,ok,2022.0,11011,사업보고서,421.8355,3517.4013
파로스아이바이오,01495180,2023-07-27,notfound,,,,,
