company_name,rcept_no,report_nm,track_type,extraction_status,filled_key_fields,xml_size,price_band_low,price_band_high,final_offering_price,net_income_bn,peer_per,per_stock_value,offering_shares,listing_market
HB인베스트먼트,20240115000371,[발행조건확정]증권신고서(지분증권),general,fail,0.0,31097.0,,,,,,,,
LB인베스트먼트,20230316001463,[발행조건확정]증권신고서(지분증권),general,fail,1.0,81962.0,,,5100.0,,,,,코스닥
LS머트리얼즈,20231130001608,[발행조건확정]증권신고서(지분증권),general,partial,3.0,640531.0,4400.0,5500.0,6000.0,,,6423.0,,코스닥
M83,20240809000437,[발행조건확정]증권신고서(지분증권),general,ok,4.0,521727.0,11000.0,13000.0,16000.0,64.06,,19588.0,,코스닥
그래피,20250808000191,[발행조건확정]증권신고서(지분증권),general,ok,5.0,852612.0,17000.0,20000.0,15000.0,117.76,28.96,29581.0,1950000.0,코스닥
그리드위즈,20240531001586,[발행조건확정]증권신고서(지분증권),general,partial,3.0,669538.0,34000.0,40000.0,40000.0,,,70315.0,1400000.0,코스닥
그린광학,20251105000064,[발행조건확정]증권신고서(지분증권),general,ok,4.0,553714.0,14000.0,16000.0,16000.0,97.68,,21211.0,,코스닥
그린리소스,20231110000300,[발행조건확정]증권신고서(지분증권),general,partial,3.0,426054.0,11000.0,14000.0,17000.0,,,17545.0,1640000.0,코스닥
금양그린파워,20230228000586,[발행조건확정]증권신고서(지분증권),general,partial,3.0,350066.0,6700.0,8000.0,10000.0,,,12013.0,3007320.0,코스닥
기가비스,20230512000026,[발행조건확정]증권신고서(지분증권),general,partial,3.0,389674.0,34400.0,39700.0,43000.0,,,65082.0,2218258.0,코스닥
꿈비,20230130000210,[발행조건확정]증권신고서(지분증권),general,partial,3.0,368993.0,4000.0,4500.0,5000.0,,,5183.0,,코스닥
나노팀,20230217000999,[발행조건확정]증권신고서(지분증권),general,partial,3.0,411069.0,11500.0,13000.0,13000.0,,,16712.0,61500.0,코스닥
나라셀라,20230519000339,[발행조건확정]증권신고서(지분증권),general,partial,3.0,335641.0,20000.0,24000.0,20000.0,,,30580.0,,코스닥
나라스페이스테크놀로지,20251205000544,[발행조건확정]증권신고서(지분증권),general,ok,5.0,881712.0,13100.0,16500.0,16500.0,54.19,51.72,23805.0,1720000.0,코스닥
나우로보틱스,20250422000537,[발행조건확정]증권신고서(지분증권),general,partial,3.0,491154.0,5900.0,6800.0,6800.0,,,9087.0,2500000.0,코스닥
넥스트바이오메디컬,20240806000195,[발행조건확정]증권신고서(지분증권),general,ok,4.0,519073.0,24000.0,29000.0,29000.0,183.6,,417843.0,1000000.0,코스닥
넥스트칩,20220620000302,[발행조건확정]증권신고서(지분증권),general,partial,3.0,405420.0,9900.0,11600.0,13000.0,,,17181.0,78000.0,코스닥
노머스,20241101000247,[발행조건확정]증권신고서(지분증권),general,partial,3.0,699081.0,27200.0,30200.0,30200.0,,,40220.0,1130000.0,코스닥
노브랜드,20240510000090,[발행조건확정]증권신고서(지분증권),general,partial,3.0,622237.0,8700.0,11000.0,14000.0,,,12858.0,1200000.0,코스닥
노브랜드,20240510000090,[발행조건확정]증권신고서(지분증권),general,partial,3.0,622237.0,8700.0,11000.0,14000.0,,,12858.0,1200000.0,코스닥
노을,20220218001119,[발행조건확정]증권신고서(지분증권),general,partial,3.0,349163.0,13000.0,17000.0,10000.0,,,,1500000.0,코스닥
노타,20251022000314,[발행조건확정]증권신고서(지분증권),general,ok,5.0,977500.0,7600.0,9100.0,9100.0,86.16,29.4,11774.0,2916000.0,코스닥
뉴로메카,20221025000174,[발행조건확정]증권신고서(지분증권),general,ok,5.0,657971.0,14000.0,16900.0,16900.0,142.2076,30.41,24177.0,45000.0,코스닥
뉴로핏,20250714000224,[발행조건확정]증권신고서(지분증권),general,partial,3.0,745705.0,11400.0,14000.0,14000.0,,,18608.0,2000000.0,코스닥
뉴엔AI,20250620000288,[발행조건확정]증권신고서(지분증권),general,partial,3.0,647823.0,13000.0,15000.0,15000.0,,,20287.0,2220000.0,코스닥
뉴엔에이아이,,,general,no_rcept_no,,,,,,,,,,
닷밀,20241101000289,[발행조건확정]증권신고서(지분증권),general,partial,3.0,457533.0,11000.0,13000.0,13000.0,,,16438.0,1200000.0,코스닥
대진첨단소재,20250219001498,[발행조건확정]증권신고서(지분증권),general,ok,4.0,730567.0,10900.0,13000.0,9000.0,,31.54,19200.0,3000000.0,코스닥
더즌,20250311000714,[발행조건확정]증권신고서(지분증권),general,ok,5.0,450457.0,10500.0,12500.0,9000.0,117.6042,33.7,16537.0,2500000.0,코스닥
더핑크퐁컴퍼니,20251105000307,[발행조건확정]증권신고서(지분증권),general,ok,4.0,530840.0,32000.0,38000.0,38000.0,256.16,,44864.0,2000000.0,코스닥
데이원컴퍼니,20250114000473,[발행조건확정]증권신고서(지분증권),general,partial,3.0,675634.0,22000.0,26700.0,13000.0,,,31097.0,1361000.0,코스닥
도우인시스,20250711000117,[발행조건확정]증권신고서(지분증권),general,ok,4.0,509587.0,29000.0,32000.0,32000.0,,15.01,38185.0,1400000.0,코스닥
동국생명과학,20250131000480,[발행조건확정]증권신고서(지분증권),general,ok,4.0,624274.0,12600.0,14300.0,9000.0,,14.82,16103.0,2000000.0,코스닥
동방메디컬,20250124000579,[발행조건확정]증권신고서(지분증권),general,ok,5.0,488569.0,9000.0,10500.0,10500.0,223.0115,17.58,17152.0,3000000.0,코스닥
듀켐바이오,20241210000172,[발행조건확정]증권신고서(지분증권),general,fail,1.0,165556.0,,,8000.0,,,,1430000.0,
디앤디파마텍,20240419000507,[발행조건확정]증권신고서(지분증권),general,ok,4.0,775557.0,22000.0,26000.0,33000.0,332.97,,43555.0,1100000.0,코스닥
라메디텍,20240603000259,[발행조건확정]증권신고서(지분증권),general,partial,3.0,491910.0,10400.0,12700.0,16000.0,,,14197.0,1298000.0,코스닥
레뷰코퍼레이션,20230918000162,[발행조건확정]증권신고서(지분증권),general,partial,3.0,828218.0,11500.0,13200.0,15000.0,,,17016.0,2240000.0,코스닥
레이저쎌,20220613000057,[발행조건확정]증권신고서(지분증권),general,partial,3.0,392603.0,12000.0,14000.0,16000.0,,,16592.0,1600000.0,코스닥
로킷헬스케어,20250422000103,[발행조건확정]증권신고서(지분증권),general,ok,5.0,833985.0,11000.0,13000.0,11000.0,117.84,25.12,18249.0,46800.0,코스닥
루닛,20220711000248,[발행조건확정]증권신고서(지분증권),general,ok,5.0,836009.0,44000.0,49000.0,30000.0,583.49,34.82,79178.0,1215800.0,코스닥
루미르,20241008000444,[발행조건확정]증권신고서(지분증권),general,ok,5.0,689910.0,16500.0,20500.0,12000.0,176.52,28.35,26068.0,2400000.0,코스닥
리브스메드,20251212000518,[발행조건확정]증권신고서(지분증권),general,ok,5.0,1240739.0,44000.0,55000.0,55000.0,429.95,45.5,75474.0,2470000.0,코스닥
링크솔루션,20250526000299,[발행조건확정]증권신고서(지분증권),general,ok,5.0,426880.0,20000.0,23000.0,23000.0,77.71,30.08,40259.0,,코스닥
마녀공장,20230524000321,[발행조건확정]증권신고서(지분증권),general,partial,3.0,341158.0,12000.0,14000.0,16000.0,,,22337.0,,코스닥
마이크로투나노,20230413001207,[발행조건확정]증권신고서(지분증권),general,partial,3.0,385971.0,13500.0,15500.0,15500.0,,,19670.0,30000.0,코스닥
메가터치,20231030000175,[발행조건확정]증권신고서(지분증권),general,ok,5.0,605141.0,3500.0,4000.0,4800.0,33.66,30.79,4989.0,5200000.0,코스닥
모니터랩,20230508000469,[발행조건확정]증권신고서(지분증권),general,partial,3.0,342877.0,7500.0,9800.0,9800.0,,,,2000000.0,코스닥
모아데이타,20220224002200,[발행조건확정]증권신고서(지분증권),general,partial,3.0,299677.0,24000.0,28000.0,20000.0,,,33286.0,24000.0,코스닥
모티브링크,20250210000466,[발행조건확정]증권신고서(지분증권),general,ok,4.0,507340.0,5100.0,6000.0,6000.0,32.04,,7227.0,3020590.0,코스닥
미래반도체,20230113000114,[발행조건확정]증권신고서(지분증권),general,partial,3.0,340257.0,5300.0,6000.0,6000.0,,,6721.0,3600000.0,코스닥
미트박스,20250110000703,[발행조건확정]증권신고서(지분증권),general,partial,3.0,467403.0,19000.0,23000.0,19000.0,,,32478.0,1000000.0,코스닥
미트박스글로벌,,,general,no_rcept_no,,,,,,,,,,
민테크,20240422000037,[발행조건확정]증권신고서(지분증권),general,partial,3.0,370406.0,6500.0,8500.0,10500.0,,,9841.0,3000000.0,코스닥
밀리의서재,20230915000280,[발행조건확정]증권신고서(지분증권),general,partial,3.0,438189.0,20000.0,23000.0,23000.0,,,37193.0,1500000.0,코스닥
바이오비쥬,20250502000293,[발행조건확정]증권신고서(지분증권),general,ok,5.0,507002.0,8000.0,9100.0,9100.0,81.2,25.51,13342.0,3000000.0,코스닥
바이오에프디엔씨,20220127000144,[발행조건확정]증권신고서(지분증권),general,ok,5.0,532934.0,23000.0,29000.0,28000.0,147.99,28.85,36414.2,1300000.0,코스닥
바이오인프라,20230217001371,[기재정정]증권신고서(지분증권),general,ok,4.0,2627373.0,18000.0,21000.0,21000.0,33.49,,28240.0,650000.0,
뱅크웨어글로벌,20240731000209,[발행조건확정]증권신고서(지분증권),general,partial,3.0,348349.0,16000.0,19000.0,16000.0,,,26361.0,1400000.0,코스닥
버넥트,20230714000339,[기재정정]증권신고서(지분증권),general,ok,4.0,3490948.0,11500.0,13600.0,16000.0,99.56,,17408.0,1920000.0,코스닥
