company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,final_offering_price,valuation_model,offering_amount,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_diff,data_quality_flag,price_band_low,price_band_high,band_midpoint,price_vs_mid,per_stock_value,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,discount_rate_implied,total_shares,net_income_mn,net_income_bn,peer_per,offering_shares,discount_rate_xml_source,institutional_ratio,retail_ratio,net_income_type
HB인베스트먼트,2024-01-25,00309460,20240115000371,[발행조건확정]증권신고서(지분증권),general,26.62,37.1,31.86,,PER,22667800000.0,,0.0,0.0,0.0,fail,31097.0,,NO_XML_DR,,,,,,,,,,,,,,,,,,
LB인베스트먼트,2023-03-29,00231901,20230316001463,[발행조건확정]증권신고서(지분증권),general,19.78,30.79,25.285,5100.0,PER,23552039700.0,코스닥,0.0,0.0,1.0,fail,81962.0,,NO_XML_DR,,,,,,,,,,,,,,,,,,
LS머트리얼즈,2023-12-12,01528141,20231130001608,[발행조건확정]증권신고서(지분증권),general,13.62,30.89,22.255,6000.0,EV/EBITDA,87750000000.0,코스닥,0.0,0.0,3.0,partial,640531.0,0.67,OK,4400.0,5500.0,4950.0,0.2121,6423.0,14.36,31.49,22.925,6.5857,,,,,,,,,
M83,2024-08-22,01704680,20240809000437,[발행조건확정]증권신고서(지분증권),general,33.63,43.84,38.735,16000.0,PER,,코스닥,0.0,0.0,4.0,ok,521727.0,0.0,OK,11000.0,13000.0,12000.0,0.3333,19588.0,33.63,43.84,38.735,18.3173,8270400.0,6406.0,64.06,,,,,,
그래피,2025-08-25,01565054,20250808000191,[발행조건확정]증권신고서(지분증권),general,32.39,42.53,37.46,15000.0,PER,29250000000.0,코스닥,0.0,0.0,5.0,ok,852612.0,0.0,OK,17000.0,20000.0,18500.0,-0.1892,29581.0,32.39,42.53,37.46,49.2918,11528547.0,11776.0,117.76,28.96,1950000.0,,,,
그리드위즈,2024-06-14,01299203,20240531001586,[발행조건확정]증권신고서(지분증권),general,43.11,51.65,47.38,40000.0,PER,56000000000.0,코스닥,0.0,0.0,3.0,partial,669538.0,0.0,OK,34000.0,40000.0,37000.0,0.0811,70315.0,43.11,51.65,47.38,43.1131,,,,,1400000.0,,,,
그린광학,2025-11-17,00677486,20251105000064,[발행조건확정]증권신고서(지분증권),general,24.57,34.0,29.285,16000.0,PER,32000000000.0,코스닥,0.0,0.0,4.0,ok,553714.0,0.0,OK,14000.0,16000.0,15000.0,0.0667,21211.0,24.57,34.0,29.285,24.5674,11702541.0,9768.0,97.68,,,,,,
그린리소스,2023-11-24,01370863,20231110000300,[발행조건확정]증권신고서(지분증권),general,20.2,37.3,28.75,17000.0,PER,27880000000.0,코스닥,0.0,0.0,3.0,partial,426054.0,,NO_XML_DR,11000.0,14000.0,12500.0,0.36,17545.0,,,,3.1063,,,,,1640000.0,,,,
금양그린파워,2023-03-13,00872656,20230228000586,[발행조건확정]증권신고서(지분증권),general,33.41,44.23,38.82,10000.0,PER,30073200000.0,코스닥,0.0,0.0,3.0,partial,350066.0,22.0632,MISMATCH_CHECK,6700.0,8000.0,7350.0,0.3605,12013.0,,,16.7568,16.7568,,,,,3007320.0,implied,,,
기가비스,2023-05-24,00765569,20230512000026,[발행조건확정]증권신고서(지분증권),general,39.0,47.14,43.07,43000.0,PER,95385094000.0,코스닥,0.0,0.0,3.0,partial,389674.0,9.1405,MISMATCH_CHECK,34400.0,39700.0,37050.0,0.1606,65082.0,,,33.9295,33.9295,,,,,2218258.0,implied,,,
꿈비,2023-02-09,01586455,20230130000210,[발행조건확정]증권신고서(지분증권),general,13.18,22.83,18.005,5000.0,PER,10000000000.0,코스닥,0.0,0.0,3.0,partial,368993.0,,NO_XML_DR,4000.0,4500.0,4250.0,0.1765,5183.0,,,,3.5308,,,,,,,,,
나노팀,2023-03-03,01524118,20230217000999,[발행조건확정]증권신고서(지분증권),general,22.21,31.19,26.7,13000.0,PER,26650000000.0,코스닥,0.0,0.0,3.0,partial,411069.0,4.4884,MISMATCH_CHECK,11500.0,13000.0,12250.0,0.0612,16712.0,,,22.2116,22.2116,,,,,61500.0,implied,,,
