company_name,corp_code,listing_date,status,bsns_year,reprt_code,reprt_name,net_income_bn,revenue_bn
애드바이오텍,01022902,2022-01-24,ok,2021.0,11011,사업보고서,-26.6447,118.4017
이지트로닉스,01140837,2022-02-04,ok,2021.0,11011,사업보고서,0.9375,177.4781
스코넥엔터테인먼트,,2022-02-04,no_corp_code,,,,,
퓨런티어,01357446,2022-02-23,ok,2021.0,11011,사업보고서,26.418,221.7196
노을,01494118,2022-03-03,ok,2021.0,11011,사업보고서,-123.1309,14.7531
모아데이타,01423837,2022-03-10,ok,2021.0,11011,사업보고서,10.8341,196.4252
비플라이소프트,,2022-06-20,no_corp_code,,,,,
보로노이,01327746,2022-06-24,notfound,,,,,
레이저쎌,01573381,2022-06-24,notfound,,,,,
넥스트칩,01515864,2022-07-01,notfound,,,,,
