company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,valuation_model,offering_shares,offering_amount,listing_market,is_tech_special,is_growth_special,per_stock_value,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,discount_rate_xml_source,discount_rate_diff,data_quality_flag,net_income_mn,net_income_bn,peer_per,total_shares,institutional_ratio,retail_ratio
애드바이오텍,2022-01-24,01022902,20220111000212,[발행조건확정]증권신고서(지분증권),general,35.9,43.9,39.9,7000.0,8000.0,7500.0,7000.0,-0.0667,PER,1360000.0,9520000000.0,코스닥,0.0,0.0,12478.0,3.0,partial,337882.0,43.9013,,,43.9013,implied,4.0013,MISMATCH_CHECK,,,,,,
이지트로닉스,2022-02-04,01140837,20220118000223,[발행조건확정]증권신고서(지분증권),general,34.1,43.1,38.6,19000.0,22000.0,20500.0,22000.0,0.0732,PER,1980000.0,43560000000.0,코스닥,0.0,0.0,33374.0,3.0,partial,399902.0,34.0804,34.08,43.09,38.585,,0.015,OK,,,,,,
스코넥엔터테인먼트,2022-02-04,,,,general,27.8,45.8,36.8,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,
바이오에프디엔씨,2022-02-21,01160974,20220127000144,[발행조건확정]증권신고서(지분증권),general,20.4,36.8,28.6,23000.0,29000.0,26000.0,28000.0,0.0769,PER,1300000.0,,코스닥,0.0,0.0,36414.2,5.0,ok,532934.0,23.1069,20.36,36.84,28.6,,0.0,OK,14799.0,147.99,28.85,8864700.0,,
퓨런티어,2022-02-23,01357446,20220210000269,[발행조건확정]증권신고서(지분증권),general,24.3,37.0,30.65,11400.0,13700.0,12550.0,15000.0,0.1952,PER,1600000.0,24000000000.0,코스닥,0.0,0.0,18094.0,3.0,partial,424301.0,17.0996,,,17.0996,implied,13.5504,MISMATCH_CHECK,,,,,,
풍원정밀,2022-02-28,00417167,20220215000835,[발행조건확정]증권신고서(지분증권),general,22.8,32.9,27.85,13200.0,15200.0,14200.0,15200.0,0.0704,PER,3000000.0,45600000000.0,코스닥,0.0,0.0,19679.0,4.0,ok,278262.0,22.7603,,,22.7603,implied,5.0897,MISMATCH_CHECK,15798.0,157.98,,,,
노을,2022-03-03,01494118,20220218001119,[발행조건확정]증권신고서(지분증권),general,16.5,36.2,26.35,13000.0,17000.0,15000.0,10000.0,-0.3333,PER,1500000.0,15000000000.0,코스닥,0.0,0.0,,3.0,partial,349163.0,,16.51,36.15,26.33,,0.02,OK,,,,,64.0,25.0
모아데이타,2022-03-10,01423837,20220224002200,[발행조건확정]증권신고서(지분증권),general,15.9,27.9,21.9,24000.0,28000.0,26000.0,20000.0,-0.2308,PER,24000.0,16000000000.0,코스닥,0.0,0.0,33286.0,3.0,partial,299677.0,39.9147,15.9,27.9,21.9,,0.0,OK,,,,,,
비플라이소프트,2022-06-20,,,,general,34.2,42.9,38.55,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,
보로노이,2022-06-24,01327746,20220613000191,[발행조건확정]증권신고서(지분증권),general,36.5,44.8,40.65,40000.0,46000.0,43000.0,40000.0,-0.0698,PER,1300000.0,52000000000.0,코스닥,0.0,0.0,72464.0,3.0,partial,385674.0,44.8002,36.52,44.8,40.66,,0.01,OK,,,,,,
레이저쎌,2022-06-24,01573381,20220613000057,[발행조건확정]증권신고서(지분증권),general,15.6,27.7,21.65,12000.0,14000.0,13000.0,16000.0,0.2308,PER,1600000.0,25600000000.0,코스닥,0.0,0.0,16592.0,3.0,partial,392603.0,3.568,,,,,,NO_XML_DR,,,,,,
넥스트칩,2022-07-01,01515864,20220620000302,[발행조건확정]증권신고서(지분증권),general,32.5,42.4,37.45,9900.0,11600.0,10750.0,13000.0,0.2093,PER,78000.0,33800000000.0,코스닥,0.0,0.0,17181.0,3.0,partial,405420.0,24.335,32.5,42.4,37.45,,0.0,OK,,,,,,
코난테크놀로지,2022-07-07,00601988,20220624000079,[발행조건확정]증권신고서(지분증권),general,25.7,37.6,31.65,21000.0,25000.0,23000.0,25000.0,0.087,PER,1200000.0,30000000000.0,코스닥,0.0,0.0,33648.0,3.0,partial,321611.0,25.7014,25.7,37.59,31.645,,0.005,OK,,,,,,
영창케미칼,2022-07-14,,,,general,26.0,40.3,33.15,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,
루닛,2022-07-21,01397620,20220711000248,[발행조건확정]증권신고서(지분증권),general,38.1,44.4,41.25,44000.0,49000.0,46500.0,30000.0,-0.3548,PER,1215800.0,36474000000.0,코스닥,0.0,0.0,79178.0,5.0,ok,836009.0,62.1107,38.11,44.43,41.27,,0.02,OK,58349.0,583.49,34.82,22055945.0,,
에이프릴바이오,2022-07-28,01375822,20220718000098,[발행조건확정]증권신고서(지분증권),general,40.3,48.1,44.2,20000.0,23000.0,21500.0,16000.0,-0.2558,PER,1296000.0,20736000000.0,코스닥,0.0,0.0,37346.0,5.0,ok,542492.0,57.1574,38.41,46.45,42.43,,1.77,MINOR_DIFF,28058.0,280.58,29.58,11533445.0,,
아이씨에이치,2022-07-29,01302853,20220718000093,[발행조건확정]증권신고서(지분증권),general,9.7,30.2,19.95,34000.0,44000.0,39000.0,34000.0,-0.1282,PER,1180000.0,40100000000.0,코스닥,0.0,0.0,48729.0,3.0,partial,387283.0,30.2264,,,30.2264,implied,10.2764,MISMATCH_CHECK,,,,,,
에스비비테크,2022-10-17,00567897,20221004000084,[발행조건확정]증권신고서(지분증권),general,32.9,45.3,39.1,10100.0,12400.0,11250.0,12400.0,0.1022,PER,54000.0,,코스닥,0.0,0.0,18470.0,3.0,partial,555689.0,32.8641,32.86,45.31,39.085,,0.015,OK,,,,,,
샤페론,2022-10-19,01387164,20221005000182,[발행조건확정]증권신고서(지분증권),general,35.3,48.0,41.65,8200.0,10200.0,9200.0,5000.0,-0.4565,PER,2747000.0,13735000000.0,코스닥,0.0,0.0,15758.0,3.0,partial,358224.0,68.2701,35.3,48.0,41.65,,0.0,OK,,,,,,
핀텔,2022-10-20,01524507,20221007000272,[발행조건확정]증권신고서(지분증권),general,21.0,33.4,27.2,7500.0,8900.0,8200.0,8900.0,0.0854,PER,60000.0,17800000000.0,코스닥,0.0,0.0,11263.0,5.0,ok,725727.0,20.9802,20.9,32.8,26.85,,0.35,OK,10950.0,109.5,20.5,22055945.0,,
플라즈맵,2022-10-21,01575839,20221011000097,[발행조건확정]증권신고서(지분증권),general,31.5,43.9,37.7,9000.0,11000.0,10000.0,7000.0,-0.3,PER,53130.0,12397000000.0,코스닥,0.0,0.0,16057.0,3.0,partial,362330.0,56.4053,31.49,43.95,37.72,,0.02,OK,,,,,,
뉴로메카,2022-11-04,01336461,20221025000174,[발행조건확정]증권신고서(지분증권),general,30.1,42.1,36.1,14000.0,16900.0,15450.0,16900.0,0.0939,PER,45000.0,,코스닥,0.0,0.0,24177.0,5.0,ok,657971.0,30.0989,29.69,41.69,35.69,,0.41,OK,14220.76,142.2076,30.41,10967670.0,,
엔젯,2022-11-18,01587056,20221108000080,[발행조건확정]증권신고서(지분증권),general,20.2,37.0,28.6,12000.0,15200.0,13600.0,10000.0,-0.2647,PER,63000.0,21000000000.0,코스닥,0.0,0.0,19055.0,3.0,partial,374875.0,47.5203,20.23,37.02,28.625,,0.025,OK,,,,,,
인벤티지랩,2022-11-22,01516456,20221110000280,[발행조건확정]증권신고서(지분증권),general,8.6,33.2,20.9,19000.0,26000.0,22500.0,12000.0,-0.4667,PER,,12480000000.0,코스닥,0.0,0.0,28453.0,3.0,partial,595142.0,57.8252,8.62,33.22,20.92,,0.02,OK,,,,,,
티이엠씨,2023-01-19,01301252,20230109000347,[발행조건확정]증권신고서(지분증권),general,19.7,32.4,26.05,32000.0,38000.0,35000.0,28000.0,-0.2,PER,31250.0,,코스닥,0.0,0.0,47325.0,3.0,partial,639425.0,40.8347,19.7,32.38,26.04,,0.01,OK,,,,,,
오브젠,2023-01-30,01472930,20230113000327,[발행조건확정]증권신고서(지분증권),general,22.2,41.6,31.9,18000.0,24000.0,21000.0,18000.0,-0.1429,PER,23279.0,13967208000.0,코스닥,0.0,0.0,30843.0,3.0,partial,329876.0,41.6399,22.19,41.64,31.915,,0.015,OK,,,,,,
샌즈랩,2023-02-15,01242241,20230203000232,[발행조건확정]증권신고서(지분증권),general,14.1,30.5,22.3,8500.0,10500.0,9500.0,10500.0,0.1053,PER,,38850000000.0,코스닥,0.0,0.0,12229.0,3.0,partial,542174.0,14.1385,,,14.1385,implied,8.1615,MISMATCH_CHECK,,,,,,
제이오,2023-02-16,00411808,20230206000061,[발행조건확정]증권신고서(지분증권),general,38.6,52.7,45.65,10000.0,13000.0,11500.0,13000.0,0.1304,EV/EBITDA,4000000.0,52000000000.0,코스닥,0.0,0.0,21162.0,3.0,partial,516755.0,38.5691,38.57,52.75,45.66,,0.01,OK,,,,,,
자람테크놀로지,2023-03-07,01365038,20230220002105,[발행조건확정]증권신고서(지분증권),general,26.2,40.9,33.55,16000.0,20000.0,18000.0,22000.0,0.2222,PER,,,코스닥,0.0,0.0,27089.0,3.0,partial,336227.0,18.7862,26.14,40.91,33.525,,0.025,OK,,,,,,
지아이이노베이션,2023-03-30,01351080,20230320000170,[발행조건확정]증권신고서(지분증권),general,41.2,55.2,48.2,16000.0,21000.0,18500.0,13000.0,-0.2973,PER,2000000.0,26000000000.0,코스닥,0.0,0.0,35705.0,3.0,partial,432507.0,63.5905,41.18,55.19,48.185,,0.015,OK,,,,,,
마이크로투나노,2023-04-26,00624378,20230413001207,[발행조건확정]증권신고서(지분증권),general,21.2,31.4,26.3,13500.0,15500.0,14500.0,15500.0,0.069,PER,30000.0,15500000000.0,코스닥,0.0,0.0,19670.0,3.0,partial,385971.0,21.1998,,,21.1998,implied,5.1002,MISMATCH_CHECK,,,,,,
에스바이오메딕스,2023-05-04,01258020,20230420000516,[발행조건확정]증권신고서(지분증권),general,52.0,57.3,54.65,16000.0,18000.0,17000.0,18000.0,0.0588,PER,,13500000000.0,코스닥,0.0,0.0,37480.0,3.0,partial,465759.0,51.9744,52.0,57.5,54.75,,0.1,OK,,,,,,
씨유박스,2023-05-19,,,,general,33.8,50.9,42.35,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,
모니터랩,2023-05-19,01583652,20230508000469,[발행조건확정]증권신고서(지분증권),general,30.6,46.9,38.75,7500.0,9800.0,8650.0,9800.0,0.1329,PER,2000000.0,19600000000.0,코스닥,0.0,0.0,,3.0,partial,342877.0,,,,,,,NO_XML_DR,,,,,,
큐라티스,2023-06-15,01357765,20230602000188,[발행조건확정]증권신고서(지분증권),general,42.3,53.1,47.7,6500.0,8000.0,7250.0,4000.0,-0.4483,PER,,14000000000.0,코스닥,0.0,0.0,13869.0,3.0,partial,605550.0,71.1587,,,,,,NO_XML_DR,,,,,,
프로테옴텍,2023-06-16,,,,general,15.4,30.7,23.05,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,
오픈놀,2023-06-30,01585155,20230620000336,[기재정정]증권신고서(지분증권),general,13.37,29.41,21.39,,,,10000.0,,PER,1650000.0,,,0.0,0.0,15584.0,3.0,partial,2922514.0,35.8316,13.38,29.42,21.4,,0.01,OK,15117.0,151.17,18.31,1.0,,
이노시뮬레이션,2023-07-06,00965318,20230626000073,[발행조건확정]증권신고서(지분증권),general,29.9,39.2,34.55,13000.0,15000.0,14000.0,15000.0,0.0714,PER,900000.0,13500000000.0,코스닥,0.0,0.0,21390.0,3.0,partial,342535.0,29.8738,29.87,39.22,34.545,,0.005,OK,,,,,,
센서뷰,2023-07-19,01593668,20230706000211,[발행조건확정]증권신고서(지분증권),general,36.7,49.0,42.85,2900.0,3600.0,3250.0,4500.0,0.3846,PER,3900000.0,17550000000.0,코스닥,0.0,0.0,5685.0,3.0,partial,445275.0,20.8443,,,20.8443,implied,22.0057,MISMATCH_CHECK,,,,,,
버넥트,2023-07-26,01605529,20230714000339,[기재정정]증권신고서(지분증권),general,21.9,33.9,27.9,11500.0,13600.0,12550.0,16000.0,0.2749,EV/EBITDA,1920000.0,,코스닥,0.0,0.0,17408.0,4.0,ok,3490948.0,8.0882,21.88,33.94,27.91,,0.01,OK,9956.0,99.56,,,,
파로스아이바이오,2023-07-27,01495180,20230713000053,[발행조건확정]증권신고서(지분증권),general,44.4,56.7,50.55,14000.0,18000.0,16000.0,14000.0,-0.125,PER,42000.0,19600000000.0,코스닥,0.0,0.0,32357.0,3.0,partial,349456.0,56.7327,44.37,56.73,50.55,,0.0,OK,,,,,,
시지트로닉스,2023-08-03,01284751,20230721000279,[발행조건확정]증권신고서(지분증권),general,40.6,46.5,43.55,18000.0,20000.0,19000.0,25000.0,0.3158,PER,900000.0,,코스닥,0.0,0.0,33651.0,3.0,partial,397255.0,25.708,40.57,46.51,43.54,,0.01,OK,,,,,,
파두,2023-08-07,01292291,20230726000458,[발행조건확정]증권신고서(지분증권),general,24.2,36.4,30.3,26000.0,31000.0,28500.0,31000.0,0.0877,PER,6250000.0,193750000000.0,코스닥,0.0,0.0,40912.0,4.0,ok,864182.0,24.2276,24.2,36.4,30.3,,0.0,OK,94820.0,948.2,,,,
템즈,2023-08-10,,,,general,32.0,44.8,38.4,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,
스마트레이더시스템,2023-08-22,01555215,20230809000641,[발행조건확정]증권신고서(지분증권),general,42.2,50.7,46.45,5800.0,6800.0,6300.0,8000.0,0.2698,PER,2220000.0,17760000000.0,코스닥,0.0,0.0,11773.0,3.0,partial,460255.0,32.0479,42.24,50.73,46.485,,0.035,OK,,,,,,
시큐레터,2023-08-24,01579570,20230811001329,[발행조건확정]증권신고서(지분증권),general,25.9,35.7,30.8,9200.0,10600.0,9900.0,12000.0,0.2121,PER,1333885.0,16006620000.0,코스닥,0.0,0.0,14313.0,3.0,partial,986493.0,16.1601,26.0,36.0,31.0,,0.2,OK,,,,,,
아이엠티,2023-10-10,01546101,20230914000342,[발행조건확정]증권신고서(지분증권),general,40.04,47.53,43.785,10500.0,12000.0,11250.0,14000.0,0.2444,PER,47400.0,22120000000.0,코스닥,0.0,0.0,,3.0,partial,368254.0,,,,,,,NO_XML_DR,,,,,,
퀄리타스반도체,2023-10-27,01584183,20231017000136,[발행조건확정]증권신고서(지분증권),general,24.13,34.25,29.19,13000.0,15000.0,14000.0,17000.0,0.2143,PER,54000.0,30600000000.0,코스닥,0.0,0.0,19771.0,3.0,partial,400734.0,14.0155,24.13,34.25,29.19,,0.0,OK,,,,,,
