company_name,rcept_no,report_nm,track_type,extraction_status,filled_key_fields,xml_size,price_band_low,price_band_high,final_offering_price,net_income_bn,peer_per,per_stock_value,offering_shares,listing_market
애드바이오텍,20220111000212,[발행조건확정]증권신고서(지분증권),general,partial,3.0,337882.0,7000.0,8000.0,7000.0,,,12478.0,1360000.0,코스닥
이지트로닉스,20220118000223,[발행조건확정]증권신고서(지분증권),general,partial,3.0,399902.0,19000.0,22000.0,22000.0,,,33374.0,1980000.0,코스닥
스코넥엔터테인먼트,,,general,no_rcept_no,,,,,,,,,,
바이오에프디엔씨,20220127000144,[발행조건확정]증권신고서(지분증권),general,ok,5.0,532934.0,23000.0,29000.0,28000.0,147.99,28.85,36414.2,1300000.0,코스닥
퓨런티어,20220210000269,[발행조건확정]증권신고서(지분증권),general,partial,3.0,424301.0,11400.0,13700.0,15000.0,,,18094.0,1600000.0,코스닥
풍원정밀,20220215000835,[발행조건확정]증권신고서(지분증권),general,ok,4.0,278262.0,13200.0,15200.0,15200.0,157.98,,19679.0,3000000.0,코스닥
노을,20220218001119,[발행조건확정]증권신고서(지분증권),general,partial,3.0,349163.0,13000.0,17000.0,10000.0,,,,1500000.0,코스닥
모아데이타,20220224002200,[발행조건확정]증권신고서(지분증권),general,partial,3.0,299677.0,24000.0,28000.0,20000.0,,,33286.0,24000.0,코스닥
비플라이소프트,,,general,no_rcept_no,,,,,,,,,,
보로노이,20220613000191,[발행조건확정]증권신고서(지분증권),general,partial,3.0,385674.0,40000.0,46000.0,40000.0,,,72464.0,1300000.0,코스닥
레이저쎌,20220613000057,[발행조건확정]증권신고서(지분증권),general,partial,3.0,392603.0,12000.0,14000.0,16000.0,,,16592.0,1600000.0,코스닥
넥스트칩,20220620000302,[발행조건확정]증권신고서(지분증권),general,partial,3.0,405420.0,9900.0,11600.0,13000.0,,,17181.0,78000.0,코스닥
코난테크놀로지,20220624000079,[발행조건확정]증권신고서(지분증권),general,partial,3.0,321611.0,21000.0,25000.0,25000.0,,,33648.0,1200000.0,코스닥
영창케미칼,,,general,no_rcept_no,,,,,,,,,,
루닛,20220711000248,[발행조건확정]증권신고서(지분증권),general,ok,5.0,836009.0,44000.0,49000.0,30000.0,583.49,34.82,79178.0,1215800.0,코스닥
에이프릴바이오,20220718000098,[발행조건확정]증권신고서(지분증권),general,ok,5.0,542492.0,20000.0,23000.0,16000.0,280.58,29.58,37346.0,1296000.0,코스닥
아이씨에이치,20220718000093,[발행조건확정]증권신고서(지분증권),general,partial,3.0,387283.0,34000.0,44000.0,34000.0,,,48729.0,1180000.0,코스닥
에스비비테크,20221004000084,[발행조건확정]증권신고서(지분증권),general,partial,3.0,555689.0,10100.0,12400.0,12400.0,,,18470.0,54000.0,코스닥
샤페론,20221005000182,[발행조건확정]증권신고서(지분증권),general,partial,3.0,358224.0,8200.0,10200.0,5000.0,,,15758.0,2747000.0,코스닥
핀텔,20221007000272,[발행조건확정]증권신고서(지분증권),general,ok,5.0,725727.0,7500.0,8900.0,8900.0,109.5,20.5,11263.0,60000.0,코스닥
플라즈맵,20221011000097,[발행조건확정]증권신고서(지분증권),general,partial,3.0,362330.0,9000.0,11000.0,7000.0,,,16057.0,53130.0,코스닥
뉴로메카,20221025000174,[발행조건확정]증권신고서(지분증권),general,ok,5.0,657971.0,14000.0,16900.0,16900.0,142.2076,30.41,24177.0,45000.0,코스닥
엔젯,20221108000080,[발행조건확정]증권신고서(지분증권),general,partial,3.0,374875.0,12000.0,15200.0,10000.0,,,19055.0,63000.0,코스닥
인벤티지랩,20221110000280,[발행조건확정]증권신고서(지분증권),general,partial,3.0,595142.0,19000.0,26000.0,12000.0,,,28453.0,,코스닥
티이엠씨,20230109000347,[발행조건확정]증권신고서(지분증권),general,partial,3.0,639425.0,32000.0,38000.0,28000.0,,,47325.0,31250.0,코스닥
오브젠,20230113000327,[발행조건확정]증권신고서(지분증권),general,partial,3.0,329876.0,18000.0,24000.0,18000.0,,,30843.0,23279.0,코스닥
샌즈랩,20230203000232,[발행조건확정]증권신고서(지분증권),general,partial,3.0,542174.0,8500.0,10500.0,10500.0,,,12229.0,,코스닥
제이오,20230206000061,[발행조건확정]증권신고서(지분증권),general,partial,3.0,516755.0,10000.0,13000.0,13000.0,,,21162.0,4000000.0,코스닥
자람테크놀로지,20230220002105,[발행조건확정]증권신고서(지분증권),general,partial,3.0,336227.0,16000.0,20000.0,22000.0,,,27089.0,,코스닥
지아이이노베이션,20230320000170,[발행조건확정]증권신고서(지분증권),general,partial,3.0,432507.0,16000.0,21000.0,13000.0,,,35705.0,2000000.0,코스닥
마이크로투나노,20230413001207,[발행조건확정]증권신고서(지분증권),general,partial,3.0,385971.0,13500.0,15500.0,15500.0,,,19670.0,30000.0,코스닥
에스바이오메딕스,20230420000516,[발행조건확정]증권신고서(지분증권),general,partial,3.0,465759.0,16000.0,18000.0,18000.0,,,37480.0,,코스닥
씨유박스,,,general,no_rcept_no,,,,,,,,,,
모니터랩,20230508000469,[발행조건확정]증권신고서(지분증권),general,partial,3.0,342877.0,7500.0,9800.0,9800.0,,,,2000000.0,코스닥
큐라티스,20230602000188,[발행조건확정]증권신고서(지분증권),general,partial,3.0,605550.0,6500.0,8000.0,4000.0,,,13869.0,,코스닥
프로테옴텍,,,general,no_rcept_no,,,,,,,,,,
오픈놀,20230620000336,[기재정정]증권신고서(지분증권),general,partial,3.0,2922514.0,,,10000.0,151.17,18.31,15584.0,1650000.0,
이노시뮬레이션,20230626000073,[발행조건확정]증권신고서(지분증권),general,partial,3.0,342535.0,13000.0,15000.0,15000.0,,,21390.0,900000.0,코스닥
센서뷰,20230706000211,[발행조건확정]증권신고서(지분증권),general,partial,3.0,445275.0,2900.0,3600.0,4500.0,,,5685.0,3900000.0,코스닥
버넥트,20230714000339,[기재정정]증권신고서(지분증권),general,ok,4.0,3490948.0,11500.0,13600.0,16000.0,99.56,,17408.0,1920000.0,코스닥
파로스아이바이오,20230713000053,[발행조건확정]증권신고서(지분증권),general,partial,3.0,349456.0,14000.0,18000.0,14000.0,,,32357.0,42000.0,코스닥
시지트로닉스,20230721000279,[발행조건확정]증권신고서(지분증권),general,partial,3.0,397255.0,18000.0,20000.0,25000.0,,,33651.0,900000.0,코스닥
파두,20230726000458,[발행조건확정]증권신고서(지분증권),general,ok,4.0,864182.0,26000.0,31000.0,31000.0,948.2,,40912.0,6250000.0,코스닥
템즈,,,general,no_rcept_no,,,,,,,,,,
스마트레이더시스템,20230809000641,[발행조건확정]증권신고서(지분증권),general,partial,3.0,460255.0,5800.0,6800.0,8000.0,,,11773.0,2220000.0,코스닥
시큐레터,20230811001329,[발행조건확정]증권신고서(지분증권),general,partial,3.0,986493.0,9200.0,10600.0,12000.0,,,14313.0,1333885.0,코스닥
아이엠티,20230914000342,[발행조건확정]증권신고서(지분증권),general,partial,3.0,368254.0,10500.0,12000.0,14000.0,,,,47400.0,코스닥
퀄리타스반도체,20231017000136,[발행조건확정]증권신고서(지분증권),general,partial,3.0,400734.0,13000.0,15000.0,17000.0,,,19771.0,54000.0,코스닥
쏘닉스,20231025000085,[발행조건확정]증권신고서(지분증권),general,partial,3.0,440855.0,5000.0,7000.0,7500.0,,,9277.0,3600000.0,코스닥
비아이매트릭스,20231027000507,[발행조건확정]증권신고서(지분증권),general,fail,0.0,75705.0,,,,,,,,
