listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates
2022-01-24,애드바이오텍,01022902,179530,애드바이오텍,exact,False,35.9,43.9,39.9,,
2022-02-04,이지트로닉스,01140837,377330,이지트로닉스,exact,False,34.1,43.1,38.6,,
2022-02-04,스코넥엔터테인먼트,,,,not_found,True,27.8,45.8,36.8,,
2022-02-21,바이오에프디엔씨,01160974,251120,바이오에프디엔씨,exact,False,20.4,36.8,28.6,,
2022-02-23,퓨런티어,01357446,370090,퓨런티어,exact,False,24.3,37.0,30.65,,
2022-02-28,풍원정밀,00417167,371950,풍원정밀,exact,False,22.8,32.9,27.85,,
2022-03-03,노을,01494118,376930,노을,exact,False,16.5,36.2,26.35,,
2022-03-10,모아데이타,01423837,288980,모아데이타,exact,False,15.9,27.9,21.9,,
2022-06-20,비플라이소프트,,,,not_found,True,34.2,42.9,38.55,,
2022-06-24,보로노이,01327746,310210,보로노이,exact,False,36.5,44.8,40.65,,
2022-06-24,레이저쎌,01573381,412350,레이저쎌,exact,False,15.6,27.7,21.65,,
2022-07-01,넥스트칩,01515864,396270,넥스트칩,exact,False,32.5,42.4,37.45,,
2022-07-07,코난테크놀로지,00601988,402030,코난테크놀로지,exact,False,25.7,37.6,31.65,,
2022-07-14,영창케미칼,,,,not_found,True,26.0,40.3,33.15,,
2022-07-21,루닛,01397620,328130,루닛,exact,False,38.1,44.4,41.25,,
2022-07-28,에이프릴바이오,01375822,397030,에이프릴바이오,exact,False,40.3,48.1,44.2,,
2022-07-29,아이씨에이치,01302853,368600,아이씨에이치,exact,False,9.7,30.2,19.95,,
2022-10-17,에스비비테크,00567897,389500,에스비비테크,exact,False,32.9,45.3,39.1,,
2022-10-19,샤페론,01387164,378800,샤페론,exact,False,35.3,48.0,41.65,,
2022-10-20,핀텔,01524507,291810,핀텔,exact,False,21.0,33.4,27.2,,
2022-10-21,플라즈맵,01575839,405000,플라즈맵,exact,False,31.5,43.9,37.7,,
2022-11-04,뉴로메카,01336461,348340,뉴로메카,exact,False,30.1,42.1,36.1,,
2022-11-18,엔젯,01587056,419080,엔젯,exact,False,20.2,37.0,28.6,,
2022-11-22,인벤티지랩,01516456,389470,인벤티지랩,exact,False,8.6,33.2,20.9,,
2023-01-19,티이엠씨,01301252,425040,티이엠씨,exact,False,19.7,32.4,26.05,,
2023-01-30,오브젠,01472930,417860,오브젠,exact,False,22.2,41.6,31.9,,
2023-02-15,샌즈랩,01242241,411080,샌즈랩,exact,False,14.1,30.5,22.3,,
2023-02-16,제이오,00411808,418550,제이오,exact,False,38.6,52.7,45.65,,
2023-03-07,자람테크놀로지,01365038,389020,자람테크놀로지,exact,False,26.2,40.9,33.55,,
2023-03-30,지아이이노베이션,01351080,358570,지아이이노베이션,exact,False,41.2,55.2,48.2,,
2023-04-26,마이크로투나노,00624378,424980,마이크로투나노,exact,False,21.2,31.4,26.3,,
2023-05-04,에스바이오메딕스,01258020,304360,에스바이오메딕스,exact,False,52.0,57.3,54.65,,
2023-05-19,씨유박스,,,,not_found,True,33.8,50.9,42.35,,
2023-05-19,모니터랩,01583652,434480,모니터랩,exact,False,30.6,46.9,38.75,,
2023-06-15,큐라티스,01357765,348080,큐라티스,exact,False,42.3,53.1,47.7,,
2023-06-16,프로테옴텍,,,,not_found,True,15.4,30.7,23.05,,
2023-06-30,오픈놀,01585155,440320,오픈놀,exact,False,13.37,29.41,21.39,,
2023-07-06,이노시뮬레이션,00965318,274400,이노시뮬레이션,exact,False,29.9,39.2,34.55,,
2023-07-19,센서뷰,01593668,321370,센서뷰,exact,False,36.7,49.0,42.85,,
2023-07-26,버넥트,01605529,438700,버넥트,exact,False,21.9,33.9,27.9,,
2023-07-27,파로스아이바이오,01495180,388870,파로스아이바이오,exact,False,44.4,56.7,50.55,,
2023-08-03,시지트로닉스,01284751,429270,시지트로닉스,exact,False,40.6,46.5,43.55,,
2023-08-07,파두,01292291,440110,파두,exact,False,24.2,36.4,30.3,,
2023-08-10,템즈,,,,multiple_partial,True,32.0,44.8,38.4,8개 부분 매칭 후보,"[{'corp_code': '01872459', 'name': '본시스템즈', 'stock': '496320'}, {'corp_code': '00453752', 'name': '제너시스템즈', 'stock': '073930'}, {'corp_code': '00132637', 'name': '동원시스템즈', 'stock': '014820'}, {'corp_code': '00363486', 'name': '로체시스템즈', 'stock': '071280'}, {'corp_code': '01286476', 'name': 'RF시스템즈', 'stock': '474610'}]"
2023-08-22,스마트레이더시스템,01555215,424960,스마트레이더시스템,exact,False,42.2,50.7,46.45,,
2023-08-24,시큐레터,01579570,418250,시큐레터,exact,False,25.9,35.7,30.8,,
2023-10-10,아이엠티,01546101,451220,아이엠티,exact,False,40.04,47.53,43.785,,
2023-10-27,퀄리타스반도체,01584183,432720,퀄리타스반도체,exact,False,24.13,34.25,29.19,,
2023-11-07,쏘닉스,00561723,088280,쏘닉스,exact,False,24.55,46.1,35.325,,
2023-11-09,비아이매트릭스,01462739,413640,비아이매트릭스,exact,False,15.53,30.12,22.825,,
2023-11-09,큐로셀,01492651,372320,큐로셀,exact,False,21.18,29.88,25.53,,
2023-11-09,컨텍,01685251,451760,컨텍,exact,False,24.16,31.58,27.87,,
2023-11-24,그린리소스,01370863,402490,그린리소스,exact,False,20.2,37.3,28.75,,
2023-12-01,에이텀,01444380,355690,에이텀,exact,False,25.08,42.56,33.82,,
2023-12-05,와이바이오로직스,01226234,338840,와이바이오로직스,exact,False,35.81,47.48,41.645,,
2024-02-22,케이웨더,00426828,068100,케이웨더,exact,False,14.08,28.89,21.485,,
2024-02-23,이에이트,,,,not_found,True,24.28,40.65,32.465,,
2024-02-23,코셈,01493793,360350,코셈,exact,False,16.65,28.56,22.605,,
2024-03-07,케이엔알시스템,00672603,199430,케이엔알시스템,exact,False,31.37,43.85,37.61,,
2024-03-21,삼현,00262266,437730,삼현,exact,False,12.93,30.28,21.605,,
2024-03-26,엔젤로보틱스,01592049,455900,엔젤로보틱스,exact,False,16.81,38.99,27.9,,
2024-04-03,아이엠비디엑스,01497373,461030,아이엠비디엑스,exact,False,24.77,41.49,33.13,,
