listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type,rcept_no,report_nm,rcept_dt,dart_url,filing_search_result
2022-01-24,애드바이오텍,01022902,179530,애드바이오텍,exact,False,35.9,43.9,39.9,,,general,20220111000212,[발행조건확정]증권신고서(지분증권),20220111,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220111000212,ok_pri1
2022-02-04,이지트로닉스,01140837,377330,이지트로닉스,exact,False,34.1,43.1,38.6,,,general,20220118000223,[발행조건확정]증권신고서(지분증권),20220118,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220118000223,ok_pri1
2022-02-04,스코넥엔터테인먼트,,,,not_found,True,27.8,45.8,36.8,,,general,,,,,no_corp_code
2022-02-21,바이오에프디엔씨,01160974,251120,바이오에프디엔씨,exact,False,20.4,36.8,28.6,,,general,20220127000144,[발행조건확정]증권신고서(지분증권),20220127,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220127000144,ok_pri1
2022-02-23,퓨런티어,01357446,370090,퓨런티어,exact,False,24.3,37.0,30.65,,,general,20220210000269,[발행조건확정]증권신고서(지분증권),20220210,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220210000269,ok_pri1
2022-02-28,풍원정밀,00417167,371950,풍원정밀,exact,False,22.8,32.9,27.85,,,general,20220215000835,[발행조건확정]증권신고서(지분증권),20220215,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220215000835,ok_pri1
2022-03-03,노을,01494118,376930,노을,exact,False,16.5,36.2,26.35,,,general,20220218001119,[발행조건확정]증권신고서(지분증권),20220218,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220218001119,ok_pri1
2022-03-10,모아데이타,01423837,288980,모아데이타,exact,False,15.9,27.9,21.9,,,general,20220224002200,[발행조건확정]증권신고서(지분증권),20220224,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220224002200,ok_pri1
2022-06-20,비플라이소프트,,,,not_found,True,34.2,42.9,38.55,,,general,,,,,no_corp_code
2022-06-24,보로노이,01327746,310210,보로노이,exact,False,36.5,44.8,40.65,,,general,20220613000191,[발행조건확정]증권신고서(지분증권),20220613,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220613000191,ok_pri1
