company_name,listing_date,corp_code,stock_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source,source_dataset
HB인베스트먼트,2024-01-25,309460,440290,20240115000350,[발행조건확정]증권신고서(지분증권),general,26.62,37.1,31.86,2400.0,2800.0,2600.0,3400.0,0.3077,,,,PER,3816.0,,200010.0,22667800000.0,26.62,37.1,31.86,코스닥,0.0,0.0,3.0,partial,350696.0,,0.0,NO_XML_DR,,,,,,,,,,,,,,,ipo_features_raw.csv
LB인베스트먼트,2023-03-29,231901,309960,20230316000293,[발행조건확정]증권신고서(지분증권),general,19.78,30.79,25.285,4400.0,5100.0,4750.0,5100.0,0.0737,,,,PER,6357.0,,,23552039700.0,19.78,30.79,25.285,코스닥,0.0,0.0,3.0,partial,357273.0,,0.0,NO_XML_DR,,,,,,,,,,,,,,,ipo_features_raw.csv
LS머트리얼즈,2023-12-12,1528141,417200,20231130001608,[발행조건확정]증권신고서(지분증권),general,13.62,30.89,22.255,4400.0,5500.0,4950.0,6000.0,0.2121,,,,EV/EBITDA,6423.0,,,87750000000.0,14.36,31.49,22.925,코스닥,0.0,0.0,3.0,partial,640531.0,6.5857,0.67,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
M83,2024-08-22,1704680,476080,20240809000437,[발행조건확정]증권신고서(지분증권),general,33.63,43.84,38.735,11000.0,13000.0,12000.0,16000.0,0.3333,,,,PER,19588.0,8270400.0,,,33.63,43.84,38.735,코스닥,0.0,0.0,3.0,partial,521727.0,18.3173,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
그래피,2025-08-25,01565054,318060,20250808000191,[발행조건확정]증권신고서(지분증권),general,32.39,42.53,37.46,17000.0,20000.0,18500.0,15000.0,-0.1892,11776.0,117.76,28.96,PER,29581.0,11528547.0,1950000.0,29250000000.0,32.39,42.53,37.46,코스닥,0.0,0.0,5.0,ok,852612.0,49.2918,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
그리드위즈,2024-06-14,1299203,453450,20240531001586,[발행조건확정]증권신고서(지분증권),general,43.11,51.65,47.38,34000.0,40000.0,37000.0,40000.0,0.0811,,,,PER,70315.0,,1400000.0,56000000000.0,43.11,51.65,47.38,코스닥,0.0,0.0,3.0,partial,669538.0,43.1131,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
그린광학,2025-11-17,00677486,,20251105000064,[발행조건확정]증권신고서(지분증권),general,24.57,34.0,29.285,14000.0,16000.0,15000.0,16000.0,0.0667,9768.0,97.68,,PER,21211.0,11702541.0,,32000000000.0,24.57,34.0,29.285,코스닥,0.0,0.0,4.0,ok,553714.0,24.5674,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
그린리소스,2023-11-24,01370863,402490,20231110000300,[발행조건확정]증권신고서(지분증권),general,20.2,37.3,28.75,11000.0,14000.0,12500.0,17000.0,0.36,,,,PER,17545.0,,1640000.0,27880000000.0,,,,코스닥,0.0,0.0,3.0,partial,426054.0,3.1063,,NO_XML_DR,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
꿈비,2023-02-09,1586455,407400,20230130000210,[발행조건확정]증권신고서(지분증권),general,13.18,22.83,18.005,4000.0,4500.0,4250.0,5000.0,0.1765,,,,PER,5183.0,,,10000000000.0,,,,코스닥,0.0,0.0,3.0,partial,368993.0,3.5308,,NO_XML_DR,,,,,,,,,,,,,,,ipo_features_raw.csv
나라셀라,2023-06-02,1021639,405920,20230519000339,[발행조건확정]증권신고서(지분증권),general,21.52,34.6,28.06,20000.0,24000.0,22000.0,20000.0,-0.0909,,,,PER,,,,,21.52,34.6,28.06,코스닥,0.0,0.0,3.0,partial,335641.0,,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
나라스페이스테크놀로지,2025-12-17,01787355,478340,20251205000544,[발행조건확정]증권신고서(지분증권),general,30.69,44.97,37.83,13100.0,16500.0,14800.0,16500.0,0.1149,5419.0,54.19,51.72,PER,23805.0,11774571.0,1720000.0,28380000000.0,30.69,44.97,37.83,코스닥,0.0,0.0,5.0,ok,881712.0,30.6868,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
나우로보틱스,2025-05-08,01594791,459510,20250422000537,[발행조건확정]증권신고서(지분증권),general,25.17,35.07,30.12,5900.0,6800.0,6350.0,6800.0,0.0709,,,,PER,9087.0,,2500000.0,17000000000.0,25.17,35.07,30.12,코스닥,0.0,0.0,3.0,partial,491154.0,25.1678,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
넥스트바이오메디컬,2024-08-20,01385050,389650,20240806000195,[발행조건확정]증권신고서(지분증권),general,30.6,42.56,36.58,24000.0,29000.0,26500.0,29000.0,0.0943,18360.0,183.6,,PER,417843.0,,1000000.0,29000000000.0,30.6,42.56,36.58,코스닥,0.0,0.0,4.0,ok,519073.0,93.0596,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
넥스트칩,2022-07-01,01515864,396270,20220620000302,[발행조건확정]증권신고서(지분증권),general,32.5,42.4,37.45,9900.0,11600.0,10750.0,13000.0,0.2093,,,,PER,17181.0,,78000.0,33800000000.0,32.5,42.4,37.45,코스닥,0.0,0.0,3.0,partial,405420.0,24.335,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
노머스,2024-11-12,01703849,473980,20241101000247,[발행조건확정]증권신고서(지분증권),general,24.91,32.37,28.64,27200.0,30200.0,28700.0,30200.0,0.0523,,,,PER,40220.0,,1130000.0,34126000000.0,24.7,32.2,28.45,코스닥,0.0,0.0,3.0,partial,699081.0,24.913,0.19,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
노브랜드,2024-05-23,00305941,145170,20240510000090,[발행조건확정]증권신고서(지분증권),general,14.45,32.34,23.395,8700.0,11000.0,9850.0,14000.0,0.4213,,,,PER,12858.0,9950113.0,1200000.0,16800000000.0,14.45,32.34,23.395,코스닥,0.0,0.0,3.0,partial,622237.0,-8.8816,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
노브랜드,2024-05-24,305941,145170,20240510000090,[발행조건확정]증권신고서(지분증권),general,14.45,32.34,23.395000000000003,8700.0,11000.0,9850.0,14000.0,0.4213,,,,PER,12858.0,9950113.0,1200000.0,16800000000.0,14.45,32.34,23.395,코스닥,0.0,0.0,3.0,partial,622237.0,-8.8816,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
노을,2022-03-03,01494118,376930,20220218001119,[발행조건확정]증권신고서(지분증권),general,16.5,36.2,26.35,13000.0,17000.0,15000.0,10000.0,-0.3333,,-123.1309,,PER,,,1500000.0,15000000000.0,16.51,36.15,26.33,코스닥,0.0,0.0,3.0,partial,349163.0,,0.02,OK,,64.0,25.0,,14.7531,-114.3791,-123.1309,199.6112,18.5701,2021.0,11011.0,974.9,-775.29,dart_api,peer_group_expanded_features_enriched.csv
노타,2025-11-03,01810477,486990,20251022000314,[발행조건확정]증권신고서(지분증권),general,22.7,35.5,29.1,7600.0,9100.0,8350.0,9100.0,0.0898,8616.0,86.16,29.4,PER,11774.0,21500805.0,2916000.0,26535600000.0,22.7,35.5,29.1,코스닥,0.0,0.0,5.0,ok,977500.0,22.7111,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
뉴로메카,2022-11-04,01336461,348340,20221025000174,[발행조건확정]증권신고서(지분증권),general,30.1,42.1,36.1,14000.0,16900.0,15450.0,16900.0,0.0939,14220.76,142.2076,30.41,PER,24177.0,10967670.0,45000.0,,29.69,41.69,35.69,코스닥,0.0,0.0,5.0,ok,657971.0,30.0989,0.41,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
뉴로핏,2025-07-25,01782004,380550,20250714000224,[발행조건확정]증권신고서(지분증권),general,24.76,38.74,31.75,11400.0,14000.0,12700.0,14000.0,0.1024,,,,PER,18608.0,,2000000.0,28000000000.0,24.76,38.74,31.75,코스닥,0.0,0.0,3.0,partial,745705.0,24.7635,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
뉴엔AI,2025-07-04,01639508,463020,20250620000288,[발행조건확정]증권신고서(지분증권),general,26.06,35.92,30.99,13000.0,15000.0,14000.0,15000.0,0.0714,,,,EV/EBITDA,20287.0,,2220000.0,33300000000.0,26.06,35.92,30.99,코스닥,0.0,0.0,3.0,partial,647823.0,26.061,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
닷밀,2024-11-13,1605282,464580,20241101000289,[발행조건확정]증권신고서(지분증권),general,20.91,33.08,26.995,11000.0,13000.0,12000.0,13000.0,0.0833,,,,PER,16438.0,9438054.0,1200000.0,,20.91,33.08,26.995,코스닥,0.0,0.0,3.0,partial,457533.0,20.915,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
