company_name,listing_date,corp_code,stock_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source,source_dataset,crawling_sector,crawling_industry,crawling_summary,crawling_source_url,crawling_collected_at,crawling_status,segment_bio,segment_healthcare,segment_software,segment_ai,segment_robotics,segment_semiconductor,segment_materials,segment_manufacturing,segment_mobility,segment_fintech,segment_deeptech,segment_platform,segment_consumer,segment_unknown
HB인베스트먼트,2024-01-25,309460,440290,20240115000350,[발행조건확정]증권신고서(지분증권),general,26.62,37.1,31.86,2400.0,2800.0,2600.0,3400.0,0.3077,,,,PER,3816.0,,200010.0,22667800000.0,26.62,37.1,31.86,코스닥,0.0,0.0,3.0,partial,350696.0,,0.0,NO_XML_DR,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 기타금융,창업투자,"동사는 1999년 중소기업창업투자회사로 설립되고, 2024년 코스닥시장에 상장한 벤처캐피탈로 중소·벤처기업에 투자금융을 제공함. 성장유망 중소·벤처기업 투자, 가치 증대로 우량기업을 육성하며 미래핵심 성장산업 가치를 창출하여 경제 발전에 기여하고 있음. 또한, 1999년 1호 투자조합 결성 이후 현재 벤처투자조합 19개를 운용, 총 출자약정액 7,518억원으로 투자재원을 확보함.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=440290,2026-06-09T18:53:42,ok,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LB인베스트먼트,2023-03-29,231901,309960,20230316000293,[발행조건확정]증권신고서(지분증권),general,19.78,30.79,25.285,4400.0,5100.0,4750.0,5100.0,0.0737,,,,PER,6357.0,,,23552039700.0,19.78,30.79,25.285,코스닥,0.0,0.0,3.0,partial,357273.0,,0.0,NO_XML_DR,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 기타금융,창업투자,"동사는 1996년 LG창업투자로 시작해 2000년 LG그룹에서 독립하고 2008년 현재의 이름으로 개명, 2023년 코스닥에 상장함. 벤처투자회사로서 자본과 경영이 취약한 벤처기업에 자금 및 경영서비스를 제공하며 투자자금을 회수하는 사업을 영위함. 보고서 작성일 기준 11개의 벤처투자조합과 1개의 사모투자합자회사를 운용하며 총 출자약정액 1조 4,990억원으로 중소벤처기업 성장을 도모하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=309960,2026-06-09T18:53:42,ok,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LS머트리얼즈,2023-12-12,1528141,417200,20231130001608,[발행조건확정]증권신고서(지분증권),general,13.62,30.89,22.255,4400.0,5500.0,4950.0,6000.0,0.2121,,,,EV/EBITDA,6423.0,,,87750000000.0,14.36,31.49,22.925,코스닥,0.0,0.0,3.0,partial,640531.0,6.5857,0.67,OK,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 전기·전자,전기제품,"동사는 2021년 LS엠트론의 울트라캐패시터 사업부문이 물적분할되어 설립되었으며, LS알스코를 종속회사로 보유하고 있음. UC사업부는 신재생에너지, AGV용 및 전기차 분야 중대형 울트라캐패시터를 생산·판매하고, 알루미늄사업부는 자동차·산업용·전기전자부품 소재를 제공하고 있음. 동사는 2024년 버티브와 MOU 체결하여 AI 데이터센터 전력 안정화 진출, 신재생에너지 전력망 안정화 제품을 개발하고 공급을 논의하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=417200,2026-06-09T18:53:42,ok,0,0,1,1,0,0,1,1,1,0,0,0,0,0
M83,2024-08-22,1704680,476080,20240809000437,[발행조건확정]증권신고서(지분증권),general,33.63,43.84,38.735,11000.0,13000.0,12000.0,16000.0,0.3333,,,,PER,19588.0,8270400.0,,,33.63,43.84,38.735,코스닥,0.0,0.0,3.0,partial,521727.0,18.3173,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 오락·문화,방송과엔터테인먼트,"동사는 2020년 설립된 VFX 전문 기업으로 2024년 코스닥에 상장함. 주요 종속회사로 IT 솔루션 기업 피앤티링크와 영상 콘텐츠 제작 기업 모터헤드를 보유하고 있으며, 노르웨이 VFX 기업 김프빌 지분 투자와 2026년 중국 법인 설립을 통해 글로벌 네트워크 확대 중임. 동사는 영화, 드라마, OTT 콘텐츠 VFX 제작을 전문으로 하고, 광고·브랜드, 뉴미디어, 가상 콘텐츠 등으로 사업 영역을 확장하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=476080,2026-06-09T18:53:42,ok,0,0,1,0,0,0,0,0,0,0,0,1,1,0
그래피,2025-08-25,1565054,318060,20250808000191,[발행조건확정]증권신고서(지분증권),general,32.39,42.53,37.46,17000.0,20000.0,18500.0,15000.0,-0.1892,11776.0,117.76,28.96,PER,29581.0,11528547.0,1950000.0,29250000000.0,32.39,42.53,37.46,코스닥,0.0,0.0,5.0,ok,852612.0,49.2918,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 화학,건강관리장비와용품,"동사는 2017년 설립된 3D프린팅 소재 및 치과교정 솔루션 전문 기업으로, 2025년 코스닥시장에 상장하였음. 자체 올리고머 개발 및 합성 역량으로 형상기억 3D프린팅 소재를 개발해 구강 환경에서 형상이 복원되는 투명교정장치(SMA)를 상용화하였음. 3D프린터로 출력하는 차별화된 방식으로 문제점을 해결하고, 생산 장비, 소프트웨어, 소재 등 통합솔루션으로 글로벌 시장을 확대하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=318060,2026-06-09T18:53:42,ok,0,0,1,0,0,1,1,1,0,0,0,0,0,0
그리드위즈,2024-06-14,1299203,453450,20240531001586,[발행조건확정]증권신고서(지분증권),general,43.11,51.65,47.38,34000.0,40000.0,37000.0,40000.0,0.0811,,,,PER,70315.0,,1400000.0,56000000000.0,43.11,51.65,47.38,코스닥,0.0,0.0,3.0,partial,669538.0,43.1131,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 일반서비스,전기유틸리티,"동사는 2013년 설립된 전력 수요 관리 서비스 및 전기차 충전 인프라 전문 기업으로, 2024년 코스닥시장에 상장하였음. 국내 1위 수요관리사업자로서 전력계통 안정화에 기여하고 있으며, 종속회사 6개사를 통해 사업을 영위하고 있음. 주요 사업으로 수요관리(DR) 서비스, 전기차 충전 모뎀 및 충전기 제조·판매, ESS 및 태양광 발전설비 설치·운영 관리 사업을 수행하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=453450,2026-06-09T18:53:55,ok,0,0,0,0,0,0,0,1,0,0,0,0,0,0
그린광학,2025-11-17,677486,,20251105000064,[발행조건확정]증권신고서(지분증권),general,24.57,34.0,29.285,14000.0,16000.0,15000.0,16000.0,0.0667,9768.0,97.68,,PER,21211.0,11702541.0,,32000000000.0,24.57,34.0,29.285,코스닥,0.0,0.0,4.0,ok,553714.0,24.5674,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,,,,,2026-06-15T18:53:31,no_stock_code,0,0,0,0,0,0,0,0,0,0,0,0,0,1
그린리소스,2023-11-24,1370863,402490,20231110000300,[발행조건확정]증권신고서(지분증권),general,20.2,37.3,28.75,11000.0,14000.0,12500.0,17000.0,0.36,,,,PER,17545.0,,1640000.0,27880000000.0,,,,코스닥,0.0,0.0,3.0,partial,426054.0,3.1063,,NO_XML_DR,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 전기·전자,반도체와반도체장비,"동사는 2023년 코스닥 상장 후 (주)위드엘씨를 합병하고, 반도체 및 디스플레이 공정 장비용 부품의 내식성·내플라즈마성 제고 소재 제조 및 코팅 사업을 영위함. PVD 방식 초고밀도 코팅을 개발·제조하여 부품에 적용 가능한 코팅층을 제작하고 오염된 부품을 세정 및 코팅하고 있음. 희토류 소재 및 코팅기술 응용 지식재산권 보유하며, 2028년까지 (주)래티스를 통해 초전도선재를 양산하여 산업에 진입할 계획하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=402490,2026-06-09T18:53:55,ok,0,0,0,0,0,1,1,1,0,0,0,0,0,0
꿈비,2023-02-09,1586455,407400,20230130000210,[발행조건확정]증권신고서(지분증권),general,13.18,22.83,18.005,4000.0,4500.0,4250.0,5000.0,0.1765,,,,PER,5183.0,,,10000000000.0,,,,코스닥,0.0,0.0,3.0,partial,368993.0,3.5308,,NO_XML_DR,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 기타제조,가정용기기와용품,"동사는 2014년 유아용품 제조 및 도소매 목적으로 설립되었으며, 2023년 코스닥시장에 상장됨. 주요 종속회사로 온라인 쇼핑몰 '더에르고' 운영사 에르모어, 가이아코퍼레이션, 옥토아이앤씨, 소브 등이 있으며, 당기 중 베스트유통을 편입하여 G7커피 등 유통사업으로 사업영역을 확장함. 동사는 놀이방 매트, 유아거실가구, 스킨케어 등 영유아용품을 제공하며, 꿈비, 리코코, 오가닉그라운드, 바바디토 등 다양한 브랜드를 보유하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=407400,2026-06-09T18:53:55,ok,0,0,0,0,0,0,0,1,0,0,0,0,1,0
나라셀라,2023-06-02,1021639,405920,20230519000339,[발행조건확정]증권신고서(지분증권),general,21.52,34.6,28.06,20000.0,24000.0,22000.0,20000.0,-0.0909,,,,PER,,,,,21.52,34.6,28.06,코스닥,0.0,0.0,3.0,partial,335641.0,,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 유통,음료,"동사는 1990년 설립된 주류 수입 및 도매업체로 2023년 코스닥시장에 상장하였음. 미국, 프랑스, 칠레, 이탈리아에서 와인을 수입해 국내 유통하고 있으며, 약 30년간 252개 브랜드, 1,613 SKU의 포트폴리오를 구축하고 있음. 국내 와인 최초 누적 판매량 1,700만 병을 달성한 칠레 몬테스, 미국 나파밸리의 덕혼 및 케이머스 등을 유통하며 다양한 판매 채널을 운영하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=405920,2026-06-09T18:53:56,ok,0,0,0,0,0,0,0,0,0,0,0,0,1,0
